"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.90960750628,1792.3424179839,1866.15886833515,1899.44134078212,1895.8543983822,1878.66108786611,1878.66108786611,1899.44134078212,1895.80238505951,1903.52096845365,1849.16201117318,1869.98645504044,1869.98645504044,1869.98645504044,1869.98645504044,1866.15886833515,1859.81956974323,1868.66225625346,1872.48984295875,1859.81956974323,1849.16201117318,1866.15886833515,1893.51261669979,1880.00851003475,1882.68156424581,1873.81404174573,1876.23756480592,1866.15886833515,1876.23756480592,1862.98921903919,1868.73972193153,1862.98921903919,1875.71064308867,1830.76923076923,1516.20596890031,1516.20596890031,1484.84848484848,1485.20862272985,1502.6079568894,1502.6079568894,1506.69642857143,1442.23119223119
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,125.974025974026,125.974025974026,123.456790123457,127.954114196998,126.68024746338,127.386468952734,127.954114196998,128.342245989305,127.386468952734,123.317316344527,126.108670054861,123.177842565598,123.450136990168,123.989591781563,127.805486284289,126.405491774174,124.14089347079,122.899159663866,120.787021630616,120.501459784886,120.938940092166,120.483870967742,116.170532940424,116.374269005848,115.607707563688,118.368962787015,120.012315270936,120.012315270936,124.845316165494,123.395734333708,125.722543352601,127.458120903132,130.714285714286,132.939438700148,131.238859180036,133.448991976797,135.80929067525,141.247586872587,144.076985632963,152.51256281407,161.396574440053,164.490592602442,169.874771771057,173.336026469683,175.273177555959,179.576771653543,175.10775862069,177.732898326814,182.947996845703,181.965582070185,179.576771653543,178.83976178935,179.108095007271,174.761602034329,169.539135348969,176.656650512347,171.379605826907,170.248908100504,177.556818181818,184.423076923077,184.868881118881,186.099157253003,178.774744572158,183.982683982684,189.374623664007,190.630131876715,196.533763504922,202.312138728324,201.577840112202,196.865443425076,202.315009761513,198.74485679503,195.777351247601,195.046605304637,200.308629260388,203.676267235589,209.9166359771,217.296511627907,214.529454022988,218.684759916493,216.78143330783,213.957565520066,214.516129032258,214.373464373464,214.516129032258,215.65145762416,223.186608803472,229.555236728838,229.123981670061,232.75462962963,237.19165085389,237.19165085389,231.685789938217,241.733070594327,243.184634448575,251.209612353065,256.756756756757,257.980697847068,261.243072050673,277.45995423341,276.864264225741,264.920424403183,282.95018115942,273.911552965375,281.137843406593,285.539215686275
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,120.202233213621,129.996285289747,124.223602484472,124.007444168734,116.666666666667,116.666666666667,112.591911764706,115.207373271889,116.310953927025,120.069059647979,120.152243589744,119.343537833199,121.193666260658,114.299610894942,114.191290163628,110.930735930736,112.307692307692,112.615710560626,116.452991452991,111.756168359942,113.858704042486,111.683366733467,115.240887662412,117.496802195619,117.496802195619,110.604905691611,113.636363636364,112.927367260123,120.064935064935,116.845429798328,120.133458014321,124.410767267536,120.889423490915,120.889423490915,118.796198521647,125.069521690768,137.800849457291,142.195767195767,146.296296296296,150.458522040744,150.831280788177,150.638605834445,150.831280788177,151.459854014599,152.208835341365,151.841957577423,155.529423127507,157.557166759621,166.085006527161,167.991329479769,166.260162601626,166.9341894061,169.287459439489,180.228365384615,178.209191759113,175.141117052882,171.56862745098,173.394097222222,177.87884315826,177.303625377643,174.838945341037,175.454545454545,177.224498889324,175.36218639372,179.020100502513,186.876299376299,190.095047523762,187.5,190.940805854922,191.420664206642,188.961693548387,187.793427230047,188.078108941418,190.137935418256,188.875828343642,195.487863682127,199.76329787234,199.76329787234,195.880452342488,209.157594447664,205.385176038501,211.426256077796,214,218.76647337902,225.694444444444,222.281797977215,222.281797977215,220.983474250576,223.33895934751,220.819181491072,228.129196392384,233.011855313257,234.115347018573,238.743375652903,236.617882019245,235.58862707951,239.391513210568,239.391513210568,242.130750605327,242.118006881611,245.398773006135,250.964566929134,260.683899110305,262.328213419563,262.605042016807,259.581546681904
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",4,213.028863400359,211.466165413534,202.79382801502,205.583645443196,202.034705159705,200.627507217036,203.287037037037,200.729927007299,200.610061542865,197.981463474213,196.572249589491,197.115384615385,195.281124497992,190.355329949239,186.025521319639,183.493635382956,182.692307692308,179.532754562023,180,178.064058956916,178.77358490566,178.183106575964,174.375,175.538935327761,175.961538461538,175,176.629161682616,179.81981981982,179.59375,183.919270833333,186.298076923077,182.977674765558,188.149067712166,191.560233918129,191.826923076923,193.719660194175,193.842645381984,195.240213523132,201.442307692308,203.381737945591,208,209.920634920635,206.631787330317,208.637096774194,208,209.920634920635,212.765957446808,212.632978723404,214.442867790391,212.083333333333,214.424951267057,218.75,218.602467811159,218.927845528455,225.524475524476,238.070539419087,226.959770114943,229.501915708812,227.586206896552,227.831876940534,238.382816014395,239.620893429487,238.070539419087,240.740740740741,241.037684915236,251.851851851852,254.8463356974,258.888888888889,258.888888888889,266.203125,267.137811309874,266.459074733096,261.368033425487,266.666666666667,271.516183941483,278.298624140088,287.927927927928,299.121405750799,316.631430584919,318.181363636364,321.501543209877,323.079629988018,324.240578188259,329.5,333.190627650551,329.359053497942,327.941176470588,327.805539691605,328.936851211073,327.669902912621,325.652173913043,325.326086956522,317.10758377425,316.666666666667,323.840277777778,319.204980842912,319.204980842912,334.134615384615,333,327.020554315476,332.618194323776,336.256725146199,342.999592999593,348.082595870206,349.5,347.652409046214
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",5,,,,,453.155701583845,451.785714285714,439.816691695905,434.239130434783,421.428571428571,420.168067226891,428.082191780822,434.719535783366,424.755381604697,436.869565217391,433.040614709111,432.627272528685,427.182121531437,407.697325505545,410.867579908676,405.206286836935,406.45180617124,409.28245270711,408.255006129955,407.97616581775,409.561293019315,409.561293019315,398.432790837854,420.608585858586,413.133402275078,421.875,432.213930348259,431.754874651811,432.464454976303,446.875,463.333333333333,479.162019772786,461.666666666667,460,459.166666666667,432.899891774892,448.926767676768,436.875,422.001438042313,417.692806221646,417.692806221646,433.367768595041,443.885009770986,447.181784247854,450.051834130782,469.148222669349,481.005694332876,479.385906040268,493.408877069385,500.022582654741,531.16384180791,528.885272579333,522.040302267003,509.259259259259,509.259259259259,564.363143631436,590.876228901297,598.23677581864,583.515681983953,572.81531198773,587.797619047619,588.928571428571,597.5,597.5,576.923076923077,562.570462232243,562.570462232243,573.426018920495,587.790680024287,630.769230769231,617.380560131796,635.127314814815,660.443325200824,671.069182389937,660.443325200824,653.306878306878,639.869909849135,633.333333333333,656.730769230769,687.427936089606,645.00442086649,683.535994697665,696.425585284281,726.92793931732,679.332729468599,672.915559598369,672.915559598369,652.923076923077,653.846153846154,653.846153846154,706.535714285714,699.5,719.346393897365,736.525797187562,724.11591216979,701.229289940828,718.519518272425,702.958579881657,713.928571428571,727.223910681385,721.153846153846,708.502024291498
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.225411659991,370.601851851852,388.340807174888,388.888888888889,401.785714285714,416.666666666667,420.168067226891,433.333333333333,433.333333333333,433.924026117751,434.439178515008,440.47619047619,446.428571428571,460.014819881441,474.404761904762,472.222222222222,475.011293054771,486.725663716814,485.008818342152,489.609522313011,500,505.99700149925,493.826748971193,493.621193415638,500,515.130517546031,533.53115727003,534.207112332112,545,546.127562642369,555.555555555556,559.643958508551,562.748024097717,555.555555555556,555.555555555556,569.047619047619,555.555555555556,564.827127659574,571.065989847716,585.553413579086,583.333333333333,583.187475690393,586.854460093897,597.236746008034,596.463721373464,593.376264949402,593.208333333333,586.476540938363,583.333333333333,594.940476190476,607.85742035742,610.132101086048,617.868315927638,609.791666666667,610.047846889952,598.75
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.33566433566,1155.40540540541,1144.04554584992,1144.25621732648,1150.32679738562,1155.40540540541,1185.29269472666,1189.27340155956,1167.79279279279,1191.35802469136,1192.61323735955,1138.52752639517,1129.87959442332,1138.09523809524,1171.30382747322,1159.14948453608,1142.20482713633,1126.12612612613,1101.69491525424,1170.21276595745,1191.40625,1183.48856383791,1150.89514066496,1144.0506259609,1141.17099478489,1079.72972972973,1075.38461538462,1061.91937869822,1065.08875739645,1041.66666666667,1023.3918128655,1042.63038548753,1035.30278670954,1022.36663814007,1043.78531073446,1054.60456942004,1004.31479950393,1027.77777777778,1042.27436323367
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.289340101523,323.30030290717,311.803295350846,309.793750637022,343.267695582757,315.031278127813,315.031278127813,315.346378363517,314.213197969543,306.420233463035,314.213197969543,309.37138873606,308.60349127182,309.738790380967,314.009661835749,318.15218229151,343.416370106762,343.416370106762,341.519505808098,358.064516129032,381.862745098039,371.645689859891,370.734087533496,358.064516129032,360.84378759237,363.884432831131,365.085265156815,361.993501614891,373.812199513088,362.421043478621,376.313200942436,388.791631102514,374.351881221003,393.657058259685,416.666666666667,413.970588235294,412.554192531284,400.390589335213,410.978950403691,412.946428571429,417.609444171176,411.274509803922,417.816665625219,417.138055418921,422.3044397463,425.682866264633,439.438367648709,433.610160217455,438.278487082659,433.828576001503,437.832455650416,433.256962690869,419.725785050862,423.845818136716,431.478619268418
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.477317554241,398.333333333333,431.347150259067,447.523974867725,452.048669201521,447.523974867725,464.939024390244,451.817985394411,452.048669201521,462.778038847118,452.048669201521,452.048669201521,455.989583333333,462.778038847118,455.729166666667,455.259146341463,457.012195121951,487.256371814093,487.39837398374,514.281108319041,505.514705882353,497.958610338378,491.266375545852,495.535714285714,508.738786874282,505.36303630363,557.315188172043,537.923076923077,514.440504334121,524.475524475524,505.31914893617,520.328235732935,542.490950226244,547.058823529412,553.703703703704,538.793103448276,538.793103448276,528.048780487805,558.693191007601,558.693191007601,569.545782848383,569.015043828477,569.116382232415,565.789473684211,562.303556658395
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.767469528108,266.926201760325,292.634146341463,283.754282457058,291.164658634538,294.290781627059,301.445285615967,295.305164319249,307.032922912206,317.149179047282,317.727272727273,328.947368421053,329.701834862385,332.833379732739,311.707317073171,314.35705989713,316.485663001342,326.753246753247,319.176882661997,329.5,345.454090909091,344.910144046095,357.183418512209,357.183418512209,363.28125,362.735849056604,362.853773584906,365.453125,371.21148989899,374.57705026455,373.609289556915,377.829309156095,378.331305238888,384.203385611153,378.108108108108,378.108108108108,387.5,391.197117126912,388.671875,404.793217474552
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.494629644601,687.692168442755,701.125056535504,674.494629644601,673.529411764706,683.92014552573,684.303350970018,684.303350970018,716.744352814629,731.343283582089,765,803.574718997605,789.74852300995,828.460038986355,784.237105821295,778.875015166142,784.237105821295,800.34924330617,799.428352996369,795.48541772724,834.217062838793,892.211142634624,887.046263038549,889.259531523513,919.618055555556,949.365079365079,984.160690769875,888.148642634624,961.538461538462,971.817298347911,842.105263157895,833.333333333333,832.8125,842.105263157895,832.8125,798.461538461538,768.75,788.021276595745,798.525798525799,788.021276595745,741.333912037037,673.076923076923,788.021276595745,788.021276595745,735.294117647059,788.541888297872,792.03869047619,792.03869047619,792.410714285714,784.635638297872,792.071385961424
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",12,192.879690663289,194.560669456067,189.393939393939,189.393939393939,188.785825118656,188.785825118656,189.393939393939,192.753623188406,195.305989583333,193.365237414264,192.753623188406,188.172043010753,185.238095238095,179.782228697976,184.334997439836,182.124818121693,183.773886328725,183.94777265745,182.692307692308,182.164179104478,181.40589569161,181.282476831312,181.8308977305,181.959300808903,181.681547081149,176.267281105991,170.426829268293,169.281045751634,168.341708542714,170.454545454545,173.380726698262,176.470588235294,176.470588235294,175.668654558598,174.274973147154,176.368934670642,177.460317460317,176.330532212885,178.571428571429,178.571428571429,181.908548707753,185.614035087719,187.5,190.730981310691,183.265306122449,187.993680884676,190.909090909091,190.909090909091,192.470588235294,187.98498136591,197.183913768639,192.745815899582,192.991631799163,188.439128774065,189.282202556539,192.307692307692,195.659773030273,195.512820512821,191.581248508099,192.74930392487,196.298373527762,196.298373527762,196.298373527762,196.298373527762,195.115110720905,200.483562508051,199.586228070175,199.369498832405,198.257839721254,205.166793990323,196.764705882353,210.278827920308,213.821803576855,213.698422840233,208.333333333333,208.333333333333,218.767990788716,220.601237842617,221.604938271605,228.069072058619,228.902371759515,241.330093411176,240.112600136705,242.660550458716,244.897959183673,236.62305767262,239.938198463508,243.493150684931,258.120426264985,260.927083333333,261.514145081109,261.514145081109,260.095527572731,258.806100217865,261.383630375227,261.590790162219,259.837398373984,260.334903192046,253.472222222222,259.343922184258,266.014693723247,267.134376686454,266.681017129681,266.227657572907,261.897717912127,258.525891437656
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,324.074074074074,327.241379310345,331.666666666667,345.234748478922,347.240330291178,342.966194111232,348.484848484848,348.484848484848,358.333333333333,384.134615384615,397.648843497762,399.300349825087,404.497913116495,415.416666666667,422.58883248731,433.333333333333,429.719616204691,444,455.392156862745,444.112537018756,461.121617670378,462.447126792531,459.672260612043,462.962962962963,460.311944718657,452.11161387632,446.540880503145,451.562673784896,433.333333333333,456.666666666667,458.333333333333,463.214239229468,460.285519021945,459.032576505429,462.733516483516,466.666666666667,487.037037037037,482.654600301659,472.255017709563,468.024977574625,464.890016920474,477.369165487977,484.444444444444,495.944094201649,515.448897006896,524.259259259259,533.348161328588,533.807829181495,527.6,533.570581257414,534.156378600823,510.956510049069,510.956510049069,503.115054180293
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",14,221.179591121788,221.490177970836,228.899082568807,229.5,224.230581338544,223.967684021544,225.223746624176,221.953578336557,220.497427540688,217.310175950079,218.75,218.75,218.115955407447,212.000898038132,211.742424242424,210.317246164521,209.166666666667,210.084033613445,205.882352941176,201.883538643523,204.783599088838,208.580928126769,211.26808752607,210.133149901503,208.828522920204,206.167084976694,205.008359933121,207.479432911849,208.810068649886,210.019267822736,206.72268907563,203.913043478261,205.681818181818,206.302447552448,204.417559899117,203.050847457627,210.355987055016,210.441151422245,217.575757575758,218.123718386876,214.040805511394,220.833333333333,221.206647398844,227.832137501103,221.825396825397,220.833333333333,221.42064372919,224.081632653061,224.038461538462,224.081632653061,223.319607843137,225.249169435216,233.354075917859,235.89562764457,240.384615384615,240.520656479909,231.651376146789,232.34898798229,239.78021978022,234.192037470726,234.471450617284,241.743012222639,250.468164794007,250.468164794007,250.255362614913,252.321981424149,254.942767950052,255.730337078652,263.06543697848,269.750811233107,261.629875406284,259.615384615385,264.5,264.705882352941,273.4375,278.181818181818,277.342413844707,286.134950539504,295.019157088123,290.52172781681,297.141254418831,293.305728088337,302.838920611531,303.149606299213,303.117782909931,302.945422298203,300.390625,303.896103896104,308.426966292135,312.937707335053,303.543559819795,301.635991820041,308.841375578838,315.884476534296,323.325635103926,320.848953949932,315.860822413014,317.435892070768,312.23303627267,321.063336738094,315.934065934066,318.393082218344,318.842586955639,316.317626527051,331.56146179402,334.376778599886
"Corona","New York","NY","New York-Newark-Jersey City","Queens County",15,,,,,,,,,,,286.79435483871,295.560253699789,295.560253699789,289.860681114551,285.714285714286,286.143169058016,290.363032864968,290.363032864968,288.959062800793,280.059746079164,277.959758464789,278.637770897833,285.127737226277,287.301587301587,285.801573531171,294.210526315789,296.19628189613,296.617915904936,296.617915904936,295.965207952468,297.667932311442,294.847920546245,294.847920546245,291.6,292.283950617284,291.633333333333,294.847920546245,299.489583333333,297.014296025553,298.862390350877,312.25,311.333333333333,307.93795620438,319.65811965812,321.363000524567,327.914798206278,333.030303030303,331.962730755834,334.674714956405,332.549307112874,332.892466329966,341.419483153763,356.632653061225,353.960396039604,364.507299270073,363.790186125212,351.170568561873,357.32538330494,369.303525365434,369.145093062606,385.109114249037,391.30303030303,387.6,395.670905109489,391.432950191571,394.444,419.798752834467,428.054925673973,452.488687782805,446.858674904561,454.554846174508,452.488687782805,455.002513826043,464.963751146498,471.175166297118,452.201393377864,452.201393377864,453.734765347341,475.531524926686,475.531524926686,475.531524926686,475.41520979021,486.74103707856,491.456250985903,491.456250985903,483.870967741935,486.699051584548,480.160320641283,492.424242424242,494.271810889804,497.315950920245,498.689727463312,505.517160998623,518.205497586574,519.480519480519,518.483783056322,516,530.111917725348,518.200525139625,500.889952062511,530.888030888031,517.511761630946,529.444015444015,532.398038432521,520.022883295195,516.129032258065
"Sunset Park","New York","NY","New York-Newark-Jersey City","Kings County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.306342780027,309.836259754738,303.880735492578,315.217391304348,300.126022068747,317.175484357551,327.74721923729,353.174603174603,341.625207296849,365.120274914089,368.568755846586,369.415807560137,367.205623344538,340.345112403936,361.921441343972,379.089739286114,395.833333333333,419.768929006703,421.185505319149,432.891705069124,421.5625,432.286673234985,429.89417989418,433.193057689025,453.382084095064,445.113408497857,417.321334388186,466.969372621916,478.536251562567,496.612466124661,502.846299810247,522.431519842173,523.123909249564,521.286231884058,518.284819454679,530.30303030303,532.810245310245,514.830508474576,538.617886178862,582.804052089995,557.708333333333,582.491739651934,561.000622471211,572.0823798627,575.471698113208,583.083832335329,571.033974924135,579.910714285714,631.067961165049,576.681427287896,612.744485294118,620.795795795796,622.222222222222,611.97705802969,607.287449392713,602.941176470588,575.258988421694,596,597.40119760479,579.268292682927,577.476175326971,583.406179243931,587.544065804935,602.336788507001,630.072424198554,650.082236842105,611.894790278571,606.796116504854,613.5655680712,616.993464052288
"Borough Park","New York","NY","New York-Newark-Jersey City","Kings County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.443044354839,654.296875,586.031902879729,566.38198757764,605.681818181818,625.063131313131,641.371158392435,666.66625,674.862278485364,657.025316455696,666.66625,670.05793120155,644.953051643192,643.315696848847,643.895348837209,643.483068237149,643.070787637089
"Bensonhurst","New York","NY","New York-Newark-Jersey City","Kings County",18,383.567782160319,403.18064516129,401.073405287412,405.887730493333,396.316762244756,388.951227830832,389.85035063785,385.402455661664,397.42804654011,389.284198708652,373.654604659695,374.166666666667,381.592105263158,374.166666666667,372.289982602694,372.102649006623,373.138435505467,374.5,375.64586124723,374.921826141338,374.921826141338,374.921826141338,374.007181727386,371.773976293103,399.666666666667,390.524193548387,400.75034106412,385.942424242424,377.230303030303,405.067567567568,399.240475826923,395.756964809384,405.067567567568,388.719512195122,385.700538220466,396.604938271605,382.148257828744,388.719512195122,383.253037359883,383.141762452107,394.483024691358,423.387096774194,386.779184247539,400.546199362767,386.779184247539,407.456140350877,428.007544452662,426.136363636364,457.690509583918,434.426229508197,432.715108401084,443.371212121212,460.829493087558,475.65403195838,493.321718931475,497.013934970139,484.701492537313,492.872807017544,490.304853898961,487.736900780379,479.359915488668,495.89552238806,523.387096774194,536.284470246734,521.90188172043,520.416666666667,521.90188172043,522.416401273885,534.274193548387,530.440306062848,519.653179190751,519.504008950214,519.885752688172,534.274193548387,559.873949579832,559.628183796237,566.829004329004,566.829004329004,570.857142857143,579.221944871138,579.579923756942,588.983050847458,598.79679144385,603.448275862069,600.254830917874,640.970116933738,644.045928030303,643.560606060606,660.123966942149,659.701492537313,653.266331658292,643.560606060606,643.560606060606,648.259303721489,648.480512894813,655.27950310559,674.564796905222,672.59024577573,673.809523809524,667.302632315522,669.491525423729,666.85318630127,658.063691702421,644.818050665102,646.551724137931,658.58918128655
"Elmhurst","New York","NY","New York-Newark-Jersey City","Queens County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.414136837336,499.207068418668,526.53748946925,541.371473798733,528.623194129305,528.623194129305,537.505849720676,543.478260869565,520.030816640986,542.925571112749,568.383658969805,568.383658969805,604.801333125033,540.003644979041,537.450744673746,568.943706514864,548.064516129032,543.20182819681,571.862348178138,581.949529288703,581.949529288703,581.949529288703,572.163545296167,550.722320864664,526.654950205038,594.940476190476,596.721735101226,586.365290158268,581.299203091041,577.557755775578,571.580428898314,601.080765298671,600
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.110332838239,332.589285714286,329.308452250274,330.383819811538,329.631379962193,340.084643288996,387.608500448967,378.403406342627,354.777672658467,394.916939618423,387.608500448967,422.214542200912,422.214542200912,395.197740112994,386.786706364835
"Westlake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.057258361157,340.06222796518,349.921716725605,354.514859279125,352.543464262717,339.854179016005,351.314882052362,328.492392807745,335.396703697908,324.246365258293,345.108038920861,344.528315537117,345.371649626969,344.846068221192,377.945482052258,360.114294785734,346.143509809191,326.730769230769,357.751277683135
