"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",1,267500,262325,249900,259900,249000,248288.5,246000,248288.5,242400,239950,235800,229950,237750,229900,225000,220000,224999.5,226000,225000,225000,228000,229900,230000,226450,224999.5,219500,218000,2e+05,215000,220000,215000,229900,234950,235000,249900,246500,240000,228050,235000,240000,242000,245500,275000,299000,287450,299450,299650,297000,279000,285000,292000,289000,289000,299000,312821,319900,319900,319900,332250,334700,334700,334950,342495,347000,359000,350000,350000,364900,357000,338000,329900,325000,329900,335550,330000,329999,354949.5,349694,347200,349949.5,348250,349999,349900,349500,344894,349500,364900,370000,399000,4e+05,412444,394949.5,412200,414900,414000,403249.5,420000,420000,4e+05,425000,429900,430000,425000,439949.5,449900,425079,430000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,229900,228000,240900,249950,229900,247950,225400,187200,199900,199450,188200,177599.5,169950,171250,174500,172500,169950,163894,153900,164944,169900,169950,169900,155700,170000,169900,170000,164990,178250,189900,189900,199000,195500,199000,203967,182500,179000,177000,175000,175000,201483.5,199500,2e+05,225000,215000,249900,254900,229950,237450,237450,246950,248500,262499.5,271400,288950,250000,279990,289900,265000,265000,234950,225000,249900,274950,269950,274500,269950,265000,234500,242500,260000,260000,265000,262500,272000,280000,279900,292450,319900,305000,312497,307449.5,299900,325000,325000,322450,322450,340000,340686,332950,324950,325000,330000,350000,344500,348500,355000,348450,342000,339000,335500,336000,336000,339000,336000,337500,340000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,349000,352900,339900,330450,325000,319900,311950,305900,311950,3e+05,306838.5,3e+05,329500,290000,276950,254950,276999.5,282500,274900,263750,250000,250000,250000,250000,265221,269700,269750,289949.5,289949.5,287499.5,285000,285000,280000,299000,299000,304950,344950,349900,352100,379900,382694,347445,349900,375000,375495,382500,388950,379000,374900,379000,388000,425000,427495,415000,415000,415000,423750,449450,429450,446250,415900,419000,419450,412750,403915,402450,400900,415000,399900,399900,4e+05,399900,407740,420878,425878,423856,417000,425000,429000,430888,415416,425888,429000,422327,427997,424495,424900,444673.5,448940,460000,475000,476511,459000,460000,464600,459900,469450,489000,493950,499999.5,540000,516945,499999.5,505000,509999,5e+05,505000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879000,799900,769949.5,735000,682000,689000,725000,789900,837450,790000,789900,769950,790000,795000,749000,784450,884450,884450,748206,749000,749000,737000,699000,755000,874950,844950,774900,7e+05,699900,710000,757400,757400,799000,814450,782450,797000,799000,789900,769000,775000,799999.5,825000,812499.5,799000,797000
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,421995,427000,407500,422500,379950,349999.5,349990,310000,329500,329500,320000,299999,299900,299900,319900,309000,275450,286000,287000,289950,289900,284949.5,299900,309000,310000,316900,310000,339900,350000,349900,337450,339900,330000,339950,349900,349900,344000,342000,334950,350000,350000,379500,409900,410000,409900,414500,419900,398944,394439,389888,409675,407182,435524.5,429450,449997,434950,429900,425000,429990,434950,419850,430000,438950,438725,449000,449894,489947.5,493000,480000,477450,469950,469900,468950,440000,469990,465000,469000,499900,463500,494643,499900,489000,489000,489302,487000,485000,485530,479900,494995,488000,490750,514170,514601.5,515000,522195,529914,540000,558950,529900,529900,575490,580880,565000,584900,550000,535000,544500
"Northwest","El Paso","TX","El Paso","El Paso County",6,399000,390500,349500,368900,392999.5,397500,389999,409500,424900,422425,427500,425000,419950,424950,424450,399900,404950,415000,399000,381975,412500,417000,399450,397000,399000,389950,398500,394900,379000,378500,390000,385000,384900,379900,375000,375000,369900,357450,365000,369900,360500,358900,360500,389000,385000,369900,369900,366950,365000,358225,362000,365000,365000,365000,369400,369800,369800,369900,380000,399900,419950,409450,419000,385000,399925,405000,399900,399925,399900,395500,397700,390000,381950,377200,399000,396950,389475,349950,359000,359777,336950,369900,365000,349900,349900,349900,357449.5,364950,367475,365000,359950,367475,362500,369950,384475,389000,399950,398950,425000,397950,399900,397950,392450,391475,358000,365500,357990
"Preston Hollow","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774000,1722000,1573000,1599000,1675000,1749000,1500000,1647500,1600000,1600000,1625000,1487500,1299500,1295000,1372500,1372500,1415137.5,1569000,1495000,1497000,1495000,1499000,1470000,1399000,1392637.5,1499000,1537000,1695000,1498000,1599000,1749000,1749000,1829990,1897500,1850000,1890000,1898500,1824450,1849500,1637450,1695000,1779900,1850000,1999900,2097499.5,1844000,1872500,1895000,1784500
"Northridge","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974479,999000,972499.5,970000,959000,954500,950000,929500,920000,944500,950000,9e+05,950000,950000,992450,898000,898000,892000,949975,980000,1029950
"Alafaya","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",9,257200,250000,235200,235500,237494,250000,249900,249900,239000,249450,249900,245000,236000,230000,235000,214900,220000,222995,221000,222000,222000,235900,223495,230000,235000,240995,239900,235000,239900,242450,246250,250000,253995,254900,259900,255945,259995,270000,281495,294990,304021,299445,3e+05,301990,320995,314900,327551,328725.5,318950,320000,324950,325000,315000,312000,314966,311990,314900,322494.5,308995,309000,304900,318215,309900,309900,312950,332449.5,336807.5,339000,334900,334900,339900,329950,326495,339450,345750,349450,341000,335000,335000,339000,348450,349900,335900,338455.5,338455.5,330000,349500,349000,350000,350000,350000,352500,352450,372400,378990,376995,377500,375000,364250,354950,367500,374000,374495,383500,377000,374900,359900
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160000,1199000,1199000,1197000,1195000,1195000,1279500,1199000,1199000,1250000,1298500,1298750,1299000,1298750,1249999,1267450,1299000,1325000,1298500,1226326.5,1278750,1224500,1225000,1249500,1275000,1249500,1249500,1254000,1295000,1272000,1292000,1285000,1272000,1299000,1249999,1296750,1299000,1325000,1299000,1398500,1399000,1399000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192000,2099000,1999000,1965000,1999000,2199500,2375000,2375000,2460000,2595000,2595000,2485000,2395000,2192500,2195000,2275000,2249000,2197000,2275000
"Canyon Country","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",12,525000,499900,549000,544999.5,520000,529499.5,535000,527450,539999,523173,515000,515000,504900,469500,487250,494250,461100,474900,480000,484500,480000,462450,469950,447400,434000,454950,490995,499900,520000,503990,569000,530000,570000,554287.5,519950,546350,565920,575000,576225,599999,584950,575000,594475,589000,589000,582450,599000,599000,649000,594450,582495,610000,599000,620000,635000,632000,635000,649000,637495,649000,676000,644495,665000,652450,665000,694999,675000,675000,674950,662000,649900,655000,709000,794495,715000,749900,729000,699949.5,699498.5,699000,689000,682000,685000,699900,699900,729000,678944,695000,707399.5,739000,752500,725000,699900,699900,689000,687000,694475,699450,7e+05,699900,725000,749126,759000,749900,749900,775000,798000
"Princess Anne","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",13,559900,545900,559900,559900,549450,539500,542400,549000,555950,549900,553400,546500,549950,556900,550000,539450,539000,550000,550000,550000,539000,550000,539900,549900,559900,549000,525900,524850,514400,534499.5,547450,555950,542000,545900,565000,557450,562500,562500,565000,565000,565000,549900,549500,542900,554900,554900,550950,545950,542900,549000,542900,506000,534450,541450,542900,549500,549900,542900,538980,514900,499950,481912.5,495000,499450,489510,5e+05,499000,5e+05,499000,497000,475610,496900,495900,501250,502500,526600,524900,532445,534990,539995,536383.5,539990,529990,529990,593345,6e+05,587000,599949.5,611950,611900,589450,589000,594500,577000,577000,554950,585950,585950,589450,579000,569000,559900,559000,558450,569000,548950,564900
"Kingwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432450,430000,434950,422500,430000,487719,485000,437000,425000,420000,417000,428000,439000,449900,449900,464900,467450,449900,464450,474000,410000,410000,449900,438700,433500,437000,437500,454910,469900,442470,443620,439625,444250,468990,474450,437245,426990,439000,425000,439900,443990,439450,435945,435945,436990,435000,442000,435000,432301,439900,439950,447995,450945,479900,445000,440000
"Woodward Park","Fresno","CA","Fresno","Fresno County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434475,457000,475000,464450,434950,439900,457400,464900,464950,499900,498450,545000,572450,550000,559250,599900,599950,592450,599900,564925,564925,499950,539900,525000,489900,478745,489975,476175,498000,498000,534999
"Centennial Hills","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309990,304945,291450,279950,299999,320000,325000,332450,371950,368900,374900,365000,402800,365000,354950,360000,399900,441490,434990,474000,499999.5,474500,475000,460000,436990,422100,427475,399949.5,397450,386000,387499.5,382600,374900,395000,404990,449750,464950,449250,454900,449250,430000,449450,454450,454000,459000,465000,482500,540000,512500,525000,553700,560495,559900,565990,565000,575000,589000,594950,595000,599000,599000
"Lone Mountain","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",17,,,,,269922,295000,264911,240000,236500,245000,246450,235000,235000,234900,239000,235000,229900,225950,219950,220000,215750,216000,211250,209000,209450,217990,209950,220500,229950,237899,230000,235800,230000,225500,229000,227500,225000,225500,240000,250000,249500,264900,277500,294000,277500,260000,280000,293500,299950,299000,307500,307500,319950,320888,322944,319400,329900,329900,325000,322500,325000,324990,324995,330000,329900,324900,329995,337860,339995,329950,335250,319000,311000,331950,339900,339500,339000,349749.5,348925,349900,349900,350000,349700,359500,382450,382400,370000,374949.5,375000,369000,385000,389000,375500,379000,402449.5,404249.5,399999,429000,460000,450000,450000,450000,452990,450000,445000,439949.5,464445
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469950,1489900,1549000,1567000,1585000,1599000,1679500,1599000,1597000,1575000,1549000,1595000,1689000,1799900,1749450,1669000,1699000,1724500,1799450,1800000,1845000,1847500,1822450,1797450,1824950,1849500,1799450,1849000,1824000,1799000,1849900,1696450,1697900,1649000,1822000,1849000,1899500,1700000,1749000,1799000,1698250,1799000,1794500,1799000,1799900,1699900,1699900,1700000,1799450,1823950,1799000,1799000,1786950,1750000,1762500,1750000,1799000,1899000
"Greater Uptown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710000,2900000,2730000,2797500,2795000,2884500,2595000,2597500,2887000,2562000,2497500,2497500,2447000,2562500,2795000,2999900,2995000,3250000,3372500,3295000,2797500,2950000,2950000,2787500,2724500,2682500,3074450,3074500,2997000,3225000,3345000,3175000,3150000,3097500,2849000,2947500,2950000,2999000,2999500,2995000,2995000,2995000,2995000,2922500,2922500,2872000,2699500,2799500,2774500,2750000,2495000,2500000,2491000,2495000
"Summerlin North","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",20,532450,532400,539950,524900,535700,507450,535700,483950,399900,417000,399000,399900,355000,355000,400500,360400,367500,344894,315000,330000,349000,339000,336950,334350,339000,344900,349000,359000,359000,359950,384450,360000,379900,374900,362500,425000,454500,460000,449000,425000,412450,474950,459900,450000,465000,465000,448888,450000,472495,439900,435000,430000,440000,447250,474999.5,559900,532990,582000,545995,536445,549000,559990,554990,549990,535000,528400,519000,525817.5,535000,559990,544900,560685,547400,549900,525000,550000,550000,550000,549900,549900,535000,534900,546450,549500,536950,534450,519000,535000,552500,590000,636994.5,624900,629950,636995,638990,655240,668490,668990,584990,607449.5,569000,602400,649949.5,697995,696990,669500,659000
"Memorial","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992949.5,949000,879500,839500,797000,899000,885750,899000,812475,872500,975000,999000,989000,924750,895000,924750,994444,966500,799000,764500,785000,749900,749900,807000,882000,859250,824000,791350,770250,735000,712000,699000
"Encino","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075250,2050250,1999000,2100000,2072000,2147500,2185000,2300000,2292500,2374500,2299000,2372500,2372500,2450000,2495000,2385000,2350000,2277500,2350000,2229500,2199999.5,2295000,2374000,2299000,2249000,2200000,2299000,2200000,2497000,2497000,2599000,2637000,2732000,2695000,2695000,2799000,3149000,2849000,2574000,2725000,2995000,2985000,2750000,2750000,2625000,2690000,2725000
