"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,95400,99000,1e+05,96390,96390,104000,107700,109900,115000,109000,105900,110000,115000,115000,114900,99900,108138,119900,129000,128750,123700,129500,124900,125000,125000,139900
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,91250,93500,95000,98000,99925,105000,105000,109000,109900,113500,109444,108695,109900,110000,109999,109970,110000,112000,115000,116950,119900,119000,123000,125000,125000,128900,130000,133500,135000,134999.5,132000,135000,135900,140000,145900,147000,148500,147250,147000,147950,149900,150000,153950,154999,159000,159900,159900,159999,160000,160750,161250,162000,165000,165000,169000,171700,175000,175000,177000,179500,179900,180000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,78000,69000,66900,66500,66000,65000,66200,68425,67900,68000,68650,69900,70650,65500,68000,68950,67500,65000,63500,63150,64500,62900,61900,60000,59900,60000,59900,60000,64000,64900,65000,60000,64900,64900,60000,69000,69250,69999.5,71000,72500,75000,78950,75000,80000,79999,79972.5,79995,80000,82000,82950,83000,84950,84000,84900,84000,86444,85000,84942.5,84700,89450,89900,89900,94900,95000,98000,90000,99000,99900,99900,99991,104900,105000,104900,109000,109000,105000,105000,114888,109900,110000,115500,120000,119000,118000,117850,125000,128000,129900,129000,129000,129894,136000,139888,134950,134000,134000,138500,144900,147000,149900,140000,150000,149900,149450,151000,159000,159888
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,196000,199900,199900,199949.5,2e+05,2e+05,199900,199900,204900,199999,205000,207750,210000,204950,2e+05,199999.5,199900,204250,2e+05,201250,2e+05,199999,2e+05,199900,199900,199900,201250,204400,199900,2e+05,210000,210000,210000,216500,220000,225000,230000,239000,239900,239900,249000,260000,269900,269900,269950,275000,269450,279900,267000,275000,279900,297500,299000,299000,306000,310000,299999.5,299949.5,299999.5,3e+05,310000,310000,310000,324000,325000,324000,325250,325000,325000,328000,329000,330000,330000,338000,348500,349900,349900,350000,365000,365000,365000,369900,369500,369500,369949.5,365000,381450,379900,389450,395000,399995,399999,4e+05,410000,419900,425000,425000,425000,429000,429450,440000,440000,440000,435000,435000,439945,435000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,70000,69000,68000,68125,67700,67900,68000,69900,69000,68000,67500,65400,67000,65000,64900,64900,64650,63744,62500,62900,60000,59900,59900,58900,58888,59900,59900,59900,60000,62000,63950,61950,60000,61800,59900,65000,65000,65000,67600,69900,72500,74000,72800,78000,78000,80000,80000,89000,89000,89900,89900,90000,90000,93900,89999.5,95000,95000,95000,94900,95000,99250,104900,105000,104900,108000,110000,108000,110000,115000,113444,115000,117500,118700,120000,119900,123900,124000,125000,126499.5,126200,129949,134875,136250,137000,138137.5,140000,145000,146000,145000,145000,149000,147294.5,149450,150000,153700,159900,160000,159949.5,160000,162000,160000,169994.5,169900,175000,178500,174900,174900
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,69900,69800,69900,70000,69999,69900,69949.5,69900,68000,67200,65000,64900,65000,58500,61900,63000,63950,62975,60000,60000,61900,60000,59000,57900,58818.5,59975,60000,59900,62000,62000,64900,62500,64876,65000,65000,69900,72500,73000,75000,75000,77500,77250,79900,84950,84900,84900,84975,85990,84900,85000,85500,86000,89500,89000,88000,90500,90000,89998,90000,92894,90000,92888,92944,94000,95000,95000,95000,95900,99000,99000,99000,99000,99945,1e+05,104900,101950,1e+05,105000,108000,106000,109000,110000,110000,113900,115000,118000,119950,121000,122749.5,129000,130000,134900,135000,134999,135000,137000,144900,145000,145000,149000,150000,149000,152450,159900,160000,159900,159999
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,160000,160000,159900,150000,159000,165000,170000,174900,169000,165000,165000,169450,170000,179000,175000,170000,168900,169000,170000,170000,170000,170000,169900,169450,169950,169450,170000,179900,180000,180000,178450,179950,181450,189000,195000,199900,199995,199950,2e+05,2e+05,2e+05,222450,230000,230000,233200,235000,237000,240000,245000,245000,242000,249000,249000,249000,255000,259000,259000,255000,260000,270000,269000,271728.5,275000,269900,269500,270000,275000,285000,289000,290000,295000,299000,299900,3e+05,303000,299990,310000,303949.5,319000,320000,324950,325000,320000,325000,325000,329450,335000,333425,337500,338700,345000,345000,345000,350000,350000,350000,363000,370000,370000,370000,375000,375000,379950,389000,389990,393995,390000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,145000,139950,145000,143500,146450,149950,150000,154975,158250,162900,162900,161450,158900,162950,161500,164450,160000,163000,165000,170000,170000,172000,169900,170000,170000,170000,170000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500,119900,119900,120000,120000,125000,124900,124900,124900,124900,125000,120000,122900,124950,120000,120000,120000,115000,120000,129000,125000,120000,129900,129900,134900,135000,134900,136500,139450,139900,139450,142100,139999,144950,144000,139450,139900,149900,149000,149000,149900,152000,155000,150000,150000,151950,160000,155000,164000,164675,159975,159900,159900,151450,155900,155900,159900,159900,163400,164200,165000,175900
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111000,109900,110000,110000,114000,109999,113175,110000,110950,115000,112995,115000,118000,118950,119900,120000,120000,120000,124900,124900,125000,124900,125000,125000,129000,129900,129900,129900,125440,134900,135500,137500,139900,139900,140000,139975,144500,149900,149900,154900,149949.5,149000,147500,149999,150000,152000,155750,159000,159900,160000,164800,165000,160000,160000,164000,162250,160000,165000,168000,174900,176000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",11,82249.5,85400,88200,89500,86500,84998,84900,83000,77750,79900,83200,79000,77500,76900,79000,79000,79000,79450,78900,76950,75000,79000,73500,72250,77000,79900,79950,80000,79900,79900,77000,76900,79000,75000,78250,76999.5,75000,74900,79000,78750,79900,83400,85000,85000,80700,80250,82950,80000,83200,79250,81500,81000,82500,82000,78000,85350,84250,84900,79900,84950,82450,79450,83000,84200,89000,89750,97800,94000,95000,92650,85750,98000,87000,101500,98000,97500,94900,110000,116250,112449.5,115000,124999.5,119500,130995,120000,119900,122500,129900,129900,125000,125000,129900,132500,139900,138700,129450,140000,145000,139900,142450,145000,150000,150000,153000,149900,144950,149000
