"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,329000,325000,319500,320000,325000,319900,315000,310000,309950,308000,309000,307807.5,308615,309000,308615,3e+05,305000,309000,312000,312000,305000,309900,309900,318170,319000,319000,324900,329900,329900,329500,328250,324900,319000,324900,325000,319949.5,319000,319949.5,325000,329000,339250,340000,344900,349900,349000,349900,359250,365000,365000,367990,365000,365000,366500,374900,380000,395000,389900,399000,399000,419000,418000,420995,425000,419900,425000,425000,424900,424945,419000,415000,425000,419500,436990,425000,429000,442750,449000,449000,450000,449000,439950,450000,455000,449949.5,450000,450000,472650,469750,465000,469000,459900,459000,450000,449000,436500,440000,450000,475000,475000,475000,479000,479000,480000,475000,475000,469925,469999.5
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,299925,299000,289900,279900,280000,269000,274900,265450,269900,269900,265000,250000,259900,259900,260000,249900,249970,249900,241500,246500,249995,249900,249000,244950,239900,237450,239900,239945,245416,247500,249000,252000,258900,265000,265000,265000,263450,275000,279000,279900,275000,285888,279945,299000,299900,308500,320000,316373.5,305000,315000,310000,323250,327000,324444,339000,339000,340000,345000,349900,349888,345990,345000,345000,350000,349000,349000,349000,349900,351015,349999.5,349988,355600,355000,359000,357000,359000,359000,355000,354990,354943.5,355000,354999.5,359450,359000,355000,364900,365000,365000,379000,389000,386944,385000,399500,399000,409700,409000,419900,410000,4e+05,406500,422500,419900,420000,430000,435450,434950,449900
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175000,2195000,2177500,2262500,2295000,2250000,2060000,2285000,2049000,2250000,2295000,2295000,2395000,2450000,2400000,2475000,2480000,2475000,2347500,2295000,2390000,2500000,2500000,2500000,2500000,2812500,2700000,2495000,2500000,2500000,2450000,2405000,2365000,2335000,2380000,2395000,2365000,2340000,2427500,2300000,2395000,2350000,2320000,2300000,2350000,2395000,2395000,2490000,2492500,2475000,2100000,1999999,2150000,2150000,2100000,2100000,1995000,2e+06,1995000,1990000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,279950,275000,274700,267000,265000,262000,256756,257500,251500,249990,250000,249999.5,248750,239945,236500,234500,234950,234900,235000,239000,230682.5,235000,229900,224000,206000,219949.5,229900,235000,237000,230000,230000,245879.5,249000,249999.5,246500,250000,250000,249000,249888.5,250000,250000,259900,259900,279000,279000,290450,273000,265000,279995,289900,299900,305000,308000,307500,319000,314000,326000,326000,332999,340000,327450,325000,325000,330000,320000,326000,326000,326000,327250,329000,329000,349888,339000,345000,348500,348750,349900,345000,347000,349000,349000,349600,349900,359950,356500,350000,354500,349999,360000,362000,362500,369950,370000,375000,379000,390000,379000,382000,394000,385000,399000,399900,399999,418500,415999,399900,424888
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,287375,289900,289375,287000,280000,280000,279999,275000,275000,274000,269950,254945,249998.5,250000,249900,249288.5,240000,240000,239950,239000,239900,239000,238950,239900,240999,244945,249000,256900,259999.5,269968,260000,275000,278998.5,285000,284900,279950,279000,285000,298820,285100,285500,295000,299000,3e+05,308939,319900,320000,320000,320000,320000,328495,334900,337995,325000,329900,341995,339900,349900,340000,340000,340495,338815,340000,349000,346990,340000,340000,340000,339900,335000,339800,339000,335000,339888,339900,354999.5,359000,359900,365236,361760,359990,360820,365000,364900,364950,370000,374894,378990,388444,398000,4e+05,415000,4e+05,415495,421495,419999.5,419430,422587.5,424999.5,429000,433000,429000,429900,430000,425000,429900,445000
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,549000,559700,565000,525000,513400,521400,525000,529000,539000,549000,549000,549000,529000,529000,529000,504499.5,499499.5,519000,519000,539000,529000,519000,519000,519995,529000,519492.5,525000,525000,549000,560000,560000,560000,560000,569000,599000,625000,714000,639000,625000,602500,575000,580000,625000,649000,650000,609950,625000,599000,599000,595000,629000,649000,629000,649000,664000,659497.5,649499.5,650000,649500,650000,650000,699000,667500,675000,679000,667500,729000,739000,739000,729000,739000,739000,749000,739000,739000,729000,7e+05,749000,749000,734000,749000,730000,772000,739000,749000,739000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,342450,339450,339950,339000,334900,334900,334700,325000,325000,315000,325000,322900,319900,325000,324900,320000,3e+05,3e+05,311450,309000,304900,304900,310000,315000,319900,324900,324950,324900,319900,324900,325000,325000,325000,338900,349000,350000,349000,350000,359000,358750,375000,375000,390000,389000,390000,395000,395000,390000,399900,401250,399900,399900,399000,399900,399999,399000,399900,396750,399000,409950,4e+05,410000,409900,415000,419900,421000,420000,415000,415000,414000,417997,423537,425000,424950,425000,425000,435000,425000,425950,429200,429250,429900,430000,445000,450000,450000,449999.5,450000,450000,457000,450000,458950,450000,451000,450000,450000,459000,465000,469900,465000,465000,469950,475000,480000,479500,478950,479000
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749000,738500,699000,689000,691000,699000,699000,745000,8e+05,8e+05,738000,699999,684000,645000,738000,731450,738000,780000,726500,750000,699000,725000,729000,737000,669500,675000,749000,667405,705000,775000,740775,786500,772000,777500,795000,848000,827000,848000,848000,848500,850000,848500,848000,818500,838750
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,3e+05,306000,310000,3e+05,299900,299900,295000,289900,295000,286900,289000,298900,296950,295000,289950,289800,283945,269450,266950,265000,265000,283000,277850,274950,289800,291500,299990,299450,309500,333500,329950,325000,324945,324945,349900,359990,350000,336653.5,335332.5,351990,368995,349450,365000,365000,379000,379900,372900,374950,374950,359000,349900,349000,364450,366500,375000,368841.5,379900,384900,389900,389950,375000,369949.5,365000,375000,369900,385000,386473,385000,399500,398000,395000,395000,399000,397560,399900,399000,404499.5,399900,410000,419900,405000,405000,409945,399950,399900,410000,420000,410000,418900,407000,405990,419900,419950,425000,419000,430990,434250,431995,433750,429000,433273,434995,445000,435000,444900,445000,439950
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,360000,359700,350000,350000,350000,349925,350000,349900,340000,337000,339900,327400,330000,324900,324000,324900,319000,309450,312400,306450,324950,305000,309000,315000,319000,324900,324900,320000,339000,333500,335000,329900,329250,325000,329900,339800,355000,359650,356450,360000,369249.5,359900,366700,371700,362000,350000,362000,375000,375000,385000,394700,375000,379900,379900,369900,369200,389000,399500,398000,394247.5,399000,399945,399949.5,409900,4e+05,399996.5,399000,399000,409050,419800,419000,419000,430000,429000,427500,429000,429000,429000,424950,426000,420000,420000,420000,424925,420000,426000,445500,439000,437500,439900,449000,439000,439000,438500,449950,449925,459900,479450,474950,454500,450000,459000,449900,465000,457000,459900,459950
