"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,0.933568990736226,0.96551724137931,0.977542932628798,0.985130111524164,0.9958071278826,1.06468063137955,1.06109324758842,0.971107544141252,0.901075268817204,0.886152118100128,0.95,0.891094453540729,0.873650793650794,0.90636927480916,0.888157894736842,0.953703703703704,1,1.05204285882491,0.953703703703704,1.03928571428571,0.995575221238938,1.02474350527108,1.04417670682731,1.04493207941484,1.03177758843763,0.999004975124378,0.97392650341433,0.962797619047619,0.99417097409144,0.994444444444444,0.943569981183963,1.09030837004405,1.15214431586113,1.16553688715865,1.29032258064516,1.14007724301842,1.14210526315789,1.14482312338223,1.16220735785953,1.11576011157601,1.16057436891258,1.03719008264463,1.02272727272727,1.13235172093332,1.2,1.27252697993843,1.14035087719298,0.997711670480549,1.03445849054386,1.018,1.14285714285714,1.15748479054406,1.1566804397988,1.14035087719298,1.26488095238095,1.21541380334113,1.13561602870813,1.11413043478261,1.17780711506392,1.15749525616698,1.20398773006135,1.32892857142857,1.22504537205082,1.21951219512195,1.22274509803922,1.2792157384612,1.21725239616613,1.28196091208663,1.28378378378378,1.28550074738416,1.32668711656442,1.28550074738416,1.37458667926311,1.35889690813508,1.40625,1.44857496902107,1.44707660015679,1.46428571428571,1.70472440944882,1.6694021101993,1.68235294117647,1.68556005398111,1.69622641509434,1.72727272727273,1.74632352941176,1.61163522012579,1.6,1.58972954230236,1.55,1.53530377668309,1.48741007194245,1.45994832041344,1.48869346733668
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05029585798817,1.06818181818182,1.09837278106509,1.11861713784791,1.12848415425735,1.09467455621302,1.10357787583994,1.09922680412371,1.02810650887574,0.996066911464708,1.01016949152542,1.03220338983051,1.02083333333333,1.03141161259991,1.03526093088858,1.03526093088858,1.03526093088858,1.03526093088858,1.08527131782946,1.03526093088858,1.10924790926796
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,0.953018664510478,0.956277125112242,0.949519230769231,0.941898790642347,0.949519230769231,0.923076923076923,0.883624853458382,0.866429151384495,0.875398089171975,0.873860182370821,0.883928571428571,0.915,0.901442307692308,0.904292582417582,0.921985815602837,0.903954802259887,0.930952380952381,0.924482338611449,0.880952380952381,0.873860182370821,0.846099213286713,0.912083333333333,0.956202046035806,0.97,1,0.99645390070922,1,1,0.985815602836879,1.00410798122066,0.998239436619718,0.983393357342937,0.980392156862745,0.980392156862745,0.946457821457821,0.952178970223325,0.93423279255417,0.965277777777778,0.974025974025974,0.971153846153846,0.937793427230047,0.995843114241002,0.968192436449251,1,0.982012987012987,1.03105158730159,1.08333333333333,1.14741035856574,1.30057803468208,1.24942136217037,1.10590607210626,1.10294117647059,1.07863849765258,1.05516431924883,1.07,1.10840438489647,1.17209677419355,1.15301947763185,1.17459677419355,1.25,1.1,1.26201923076923,1.16821641107805,1.07407407407407,1.1938202247191,1.26181681115718,1.27173679978558,1.39086859688196,1.3744019138756,1.33518930957684,1.32815446650124,1.36964199142271,1.31389777431321,1.34129213483146,1.29558982683983,1.25714285714286,1.19463087248322,1.3,1.3,1.3,1.36294896030246,1.36561727571373,1.37434381408066,1.39086859688196,1.375,1.38649988688636,1.39182124482793,1.41286215353028
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09269720352934,5.06756756756757,5.06224206834679,5.05208333333333,5.00284738041002,4.97799511002445,4.99,4.98858447488584,5.05540166204986,5.10237388724036,5,5.01658374792703,5.11689691817216,5.11782345908608,5.14986053987614,5.1,5.08484848484848,5.06101835761346,5,5.0409400431822,5.07692307692308,5.06723716381418,5.06297215201614,5,4.57779315773046,5,5.00578165271049,4.92220650636492,4.91143317230274,4.9211356466877,4.91538461538462,5,5.02452453655839,4.99359795134443,5.00858159684776,5,5,5,4.99328828828829,4.99129080118694,4.99258160237389,4.98109277908721,4.96719775070291,4.98109277908721,5,5.05783192549636,5.18107476635514,5.08269018743109,5.0476740499162,5.14096185737977,5.04484304932735,5.03371742112483
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31291759465479,1.24880095233714,1.26459143968872,1.22743682310469,1.2488038277512,1.24,1.11764705882353,1.12288108539505,1.19646412032435,1.144,1.125,1.11764705882353,1.23635026965818,1.27798626597636,1.23022847100176,1.2730303030303,1.27819587135091,1.27951002227171,1.33518930957684,1.33518930957684,1.28859060402685,1.27545691906005,1.29325182188688,1.27951002227171,1.28039430449069,1.32998745294856,1.3744019138756,1.39086859688196,1.42963496765806,1.44654788418708,1.42494677414518,1.43421052631579,1.43693411851307,1.43421052631579
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10181311018131,1.1657800066313,1.20831417624521,1.1877292215507,1.23735408560311,1.26486486486486,1.28664072632944,1.28728923476005,1.26016260162602,1.23076923076923,1.20502092050209,1.23333333333333,1.25611745513866,1.24675675675676,1.24595469255663,1.27959726443769,1.24595469255663,1.23833333333333,1.24697986577181,1.24595469255663,1.24595469255663,1.25,1.26724137931034
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03915662650602,0.952277461190804,0.99312242090784,1.00724896836314,1.04676753782668,1.05501200480192,1.10591471801926,1.09769186046512,1.11389236545682,1.13188360450563,1.10759493670886,1.13990005676732,1.098,1.098,1.12765957446809,1.16039279869067,1.16039279869067,1.16039279869067,1.16039279869067,1.20027285129604,1.23965517241379,1.24147339699864,1.24416814492286,1.25945453262455
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.88090909090909,3.01873198847262,3.07692307692308,2.8,3,2.96774193548387,2.94117647058824,2.91666666666667,2.85714285714286,2.99198717948718,2.95230769230769,2.85714285714286,2.85571428571429,2.85895806861499,2.8,2.82379032258065,2.85895806861499,2.78571428571429,2.85714285714286,2.91666666666667,2.83333333333333,2.84615384615385,2.92307692307692,2.95238095238095,2.86821705426357,2.82142857142857
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,,1.0761499309903,1.07627801967425,1.01925254813137,1.0188679245283,1.00495750708215,0.975773889636608,0.986244467143344,1.00710900473934,0.993354800936768,0.972027972027972,0.955533380850558,0.956940287569091,0.972024456521739,0.974558823529412,0.975,0.978494623655914,1.008,1.01044117830152,1.0035799522673,1.015625,1.01090858279061,1.01866251944012,1.05,1.08651104775481,1.03692307692308,1.03333333333333,1.04166666666667,1.04833333333333,1.06470364362931,1.05580693815988,1.06253031802394,1.13238388969521,1.12282229965157,1.12282229965157,1.12477079394411,1.12426521241696,1.09051146253842,1.0917537746806,1.09230769230769,1.09756097560976,1.11801242236025,1.12007168458781,1.12162162162162,1.14990723562152,1.15764871205259,1.15781710914454,1.14652956298201,1.14284274193548,1.16923076923077,1.12878787878788,1.14583333333333,1.14652956298201,1.16,1.19140625,1.18449982365698,1.17375886524823,1.2032546705998,1.19562243502052,1.22647246684062,1.22861586314152,1.26496795583083,1.30084226646248,1.28114787581699,1.28426339285714,1.28384489435247,1.25719769673704,1.3321430462374,1.44011142061281,1.34042174654007,1.30530973451327,1.28133704735376,1.3099173553719,1.33287135278515,1.35977337110482,1.3489932885906,1.36391912908243,1.36170486737059,1.36191797892829,1.37217391304348,1.38189845474614,1.396875,1.37110016420361,1.38211382113821,1.38462228745319,1.37110016420361,1.36879432624113,1.38211382113821,1.40179910044978,1.42198581560284,1.41384388807069,1.42142857142857,1.39911634756996,1.38061129455592
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09850687103594,4.09090909090909,4.13333333333333,4.15462577962578,4.19534976152623,4.15540540540541,4.28571428571429,4.45264452644526,4.35714285714286,4.29814814814815,4.16733333333333,4.21428571428571,4.10610465116279,4.07993730407524,4,4.11376661129568,4.09090909090909,4.09529377375036,4.14201183431953,4.26790824437883,4.26251691474966,4.1166159903484
