"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,0.823991031390135,0.850860420650096,0.85171568627451,0.8213154149394,0.879541108986616,0.932642487046632,0.973139313824778,0.863991081382386,0.850340136054422,0.813736903376019,0.901807228915663,0.808351177730193,0.796739130434783,0.813933669079314,0.789328453584292,0.817708333333333,0.843971631205674,0.861895161290323,0.831695331695332,0.837837837837838,0.831818181818182,0.806995327301369,0.881997372528102,0.920275590551181,0.856984392419175,0.862110311750599,0.868478260869565,0.861895161290323,0.854044458166101,0.868478260869565,0.853939327804452,1,1,1,0.984372122907436,0.904605263157895,0.915248226950355,0.944584382871537,0.946601941747573,0.975,0.946028243601059,0.918392234033391,0.894100043050174,0.929203539823009,0.947223120888601,1.02162162162162,0.996986876619366,0.994043186895011,0.948991696322657,0.973693071061492,1.02365871833085,1.00888888888889,0.964858985163554,0.982658959537572,1.03635887748367,1.15373244641537,1.04704463208685,1.04166666666667,1.04794760339975,1.07142857142857,1.07142857142857,1.16909090909091,1.09443631039531,1.04276069017254,1.05534105534106,1.11495960180171,1.0594536233168,1.15386977886978,1.15909090909091,1.12783851976451,1.195,1.2562192389737,1.25,1.24403409090909,1.26045875420875,1.30824607329843,1.36468774094063,1.33846788600299,1.47663551401869,1.41332890119364,1.41131105398458,1.40137787723785,1.41686746987952,1.42650602409639,1.46206046506664,1.43224829674489,1.43224829674489,1.42802891027721,1.38888888888889,1.3607257203842,1.35420560747664,1.35,1.36363636363636
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830708661417323,0.849900596421471,0.792361111111111,0.854487665925306,0.875626174343305,0.874751491053678,0.877684407096172,0.933117583603021,0.961977186311787,0.898605830164765,0.898605830164765,0.884210526315789,0.897550673843589,0.904572564612326,0.934643274853801,0.886842105263158,0.846315789473684,0.846315789473684,0.878947368421053,0.872382851445663,0.872631578947368,0.922182223820342
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,0.75,0.741758241758242,0.722222222222222,0.722222222222222,0.735294117647059,0.746053993679852,0.744927536231884,0.787215411558669,0.805767599660729,0.763016157989228,0.791855203619909,0.81325967303345,0.783475783475784,0.791855203619909,0.759734093067426,0.756938603868797,0.755208333333333,0.770833333333333,0.771192528735632,0.74878640776699,0.745201467559217,0.765202116585704,0.757864632983794,0.74702380952381,0.756938603868797,0.757720195279776,0.756938603868797,0.741985926505082,0.75354609929078,0.759878419452888,0.759878419452888,0.768933539412674,0.764316288477946,0.759734093067426,0.758568504528735,0.777777777777778,0.779248637456452,0.776915496427692,0.780532598714417,0.773845776761045,0.767459708365311,0.768608414239482,0.767045454545455,0.770106676255544,0.779162956366874,0.77639751552795,0.798286604361371,0.789141414141414,0.809162360034453,0.811068702290076,0.820016820857864,0.828640691514008,0.824118198110134,0.823863636363636,0.842945874001775,0.842945874001775,0.825157555094613,0.820953870211102,0.902184235517569,0.906225374310481,0.866938147100489,0.88309503784693,0.90689238210399,0.89207650273224,0.884410657021404,0.934959349593496,0.947368421052632,0.904761904761905,0.907789729354615,0.958701072051857,0.881027183600713,0.943396226415094,0.942350332594235,0.871578947368421,0.965952999859491,0.917570153061224,0.954945054945055,0.976205531984334,0.994789946690569,0.970744680851064,1.00842105263158,1.01904761904762,1.05052631578947,1.10664479081214,1.0952380952381,1.04762528670931,1.01950354609929,1.11875,1.15384615384615,1.15384615384615,1.16844349680171,1.18790496760259,1.15384615384615,1.16178067318132,1.20990102050318,1.18867924528302,1.20124389774098,1.19473684210526
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05434782608696,4.98654708520179,4.956,4.94811320754717,4.94053064958829,4.91641549658164,4.86301369863014,4.91990296449869,4.94811320754717,5.00373412994772,5.04824561403509,4.99150622876557,4.95462267064759,4.94839677972666,4.95048521412102,5,4.94811320754717,5.00373412994772,5,5.08002392344498,5.09885204081633,5.01252901132668,4.994375,4.98861508810573,4.94338360436404,4.54545454545455,4.89210526315789,4.89605263157895,4.8525641025641,4.81110373347687,4.84304932735426,4.8612365790448,4.9236641221374,4.94338360436404,4.88961988304094,4.94868035190616,4.9,4.89098128214032,4.89098128214032,4.87683054393306,4.9163179916318,4.94053064958829,4.90627969591384,4.90627969591384,5,4.90348923533779,4.93896580022996,5.00008135068815,4.99642857142857,4.91554543017958,4.98803707553708,4.94623655913978,4.97772828507795
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94923362528561,1.96541748123857,1.98258252164502,2.14007782101167,2.00909665539891,1.88194444444444,1.92544218482157,1.874375,2.09876543209877,2.09090909090909,2.12123953740673,2.11335449579212,2.13026444662096,2.11875,2.15833333333333,2.0952380952381,2.13333333333333,2.11111111111111
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,0.674915635545557,0.66510172143975,0.667008898015058,0.675027095858586,0.653091864904956,0.652400835073069,0.65255509733949,0.669642857142857,0.668321233973063,0.677035681610247,0.66735112936345,0.66735112936345,0.664767331433998,0.672199041559944,0.651709401709402,0.651041666666667,0.658285714285714,0.65320197044335,0.664741525248772,0.668058455114823,0.676091220371663,0.666071428571429,0.664944546194546,0.662878787878788,0.651444547996272,0.65320197044335,0.616016427104723,0.619637750238322,0.636431536216019,0.643394199785177,0.650547918923799,0.664767331433998,0.661696178937558,0.661111111111111,0.66510172143975,0.662251655629139,0.647487844408428,0.652709359605911,0.662650602409639,0.66562091503268,0.665686274509804,0.665686274509804,0.666234317972617,0.662138229213936,0.671296296296296,0.671296296296296,0.678947368421053,0.677511560298909,0.678496868475992,0.698974836905871,0.70479704797048,0.703703703703704,0.703703703703704,0.694444444444444,0.692663086400253,0.72645557875203,0.730688935281837,0.705329153605016,0.740971357409714,0.754310344827586,0.708333333333333,0.719249750124938,0.719535018265731,0.713552361396304,0.726944913303667,0.732758620689655,0.722727272727273,0.770020533880904,0.768872320596458,0.795488236027208,0.786463298379409,0.796428571428571,0.799170511506038,0.830721003134796,0.863336730475747,0.852941176470588,0.836039217753413,0.838675213675214,0.831519665674725,0.840597758405978,0.866089121350928,0.873526259378349,0.878885316184352,0.878885316184352,0.872645143719248,0.873798076923077,0.883278083562672,0.867167312661499
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07142857142857,0.927461139896373,0.963714984019552,0.969230769230769,0.962962962962963,0.962419798350137,0.955066921606119,0.949754901960784,1.00044483985765,0.972267331871223,0.937808489634748,0.937192118226601,1.01010101010101,0.993091537132988,1.04166666666667,1.01967799642218,1.02642276422764,1.03189493433396,1.04433497536946,1.04606525911708,1.04951560818084,1.04433497536946,1.05284974093264,1.05691056910569,1.05102040816327,1.06269018671603,1.06842105263158,1.11384469046989,1.1268483071532,1.15176374077112,1.13959981142947,1.15586546349467,1.15589353612167,1.17216494845361
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,0.763829440300029,0.71377331420373,0.794016773784477,0.804924242424242,0.818761384335155,0.783972440959737,0.802177858439201,0.813084112149533,0.793718166383701,0.807427421063785,0.800186567164179,0.818639798488665,0.855042016806723,0.828460038986355,0.822115384615385,0.806458773784355,0.852390852390852,0.850973335600322,0.825788579159818,0.846994535519126,0.846153846153846,0.850340136054422,0.85274734215665,0.849518732569704,0.848369916733719,0.849443969204448,0.845708775313404,0.835065753918213,0.836065573770492,0.836201932269348,0.867749641662685,0.798084596967279,0.765833333333333,0.842105263157895,0.820957095709571,0.862942462942463,0.876880001353432,0.880136799651188,0.909918107370337,0.913461538461538,0.941850941850942,0.963718820861678,0.925047438330171,0.898472596585804,0.887096774193548,0.921286605763024,0.926920003994807,0.946969696969697,0.934664246823956,0.950954519195421,0.935310621620687,0.885026535775175,0.931843623066344,0.920934411500449,0.954773869346734,0.968253968253968,0.950871783158215,1.03003451955691,1.03085299455535,1.04741703439429,1.02645502645503,1.02112676056338,1.01754385964912,0.991194371629154,0.996107266435986,0.982419855222337,1.08531298705118,0.994809688581315,1.02597402597403,0.952793973427194,1.09127296198475,1.09845022206148,1.03146853146853,1.03743760399334,1.10568295114656,1.0977130977131,1.11038961038961,1.10568295114656,1.14760914760915,1.16971139960172,1.0963096309631,1.22634730538922,1.20209723546235,1.20961004252604,1.23182289774014,1.24962154085879,1.26131221719457,1.22275795564127,1.2004662004662,1.19160299681033,1.20876777572017,1.30268595041322
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,0.766016713091922,0.79931154736494,0.754884547069272,0.745884773662551,0.757517816499697,0.722462203023758,0.744060475161987,0.754884547069272,0.760152284263959,0.743927125506073,0.748987854251012,0.758928571428571,0.802440374902088,0.835425383542538,0.816046966731898,0.824789915966387,0.807655502392345,0.785195407622092,0.833178869323448,0.819555322128852,0.828781512605042,0.821503131524008,0.837053571428571,0.810473815461347,0.802025782688766,0.826670501069509,0.799798792756539,0.775,0.833178869323448,0.837245997536946,0.829236808723889,0.833178869323448,0.839285714285714,0.865650018029728,0.888077858880779,0.878569636277006,0.890467500868961,0.895979020979021,0.8546759760438,0.848007414272475,0.861344537815126,0.851203296392504,0.869408329214239,0.923416241496599,0.869061413673233,0.896018710400794,0.935523114355231,0.939385188037479,0.911458333333333,0.935187074829932,0.938508329548985,0.987535953978907,0.935374149659864,0.964763177998472,0.973715651135006,1.02522522522523,1.04166666666667,1.0196144832183,0.951351351351351,1.01139240506329,1.00743533296643,0.935374149659864,0.939225471481357,0.938172877846791,0.965796074634747,0.963927710843373,0.987669069975408,0.995238095238095,1.01045810729355,1.0452380952381,1.05257009345794,1.05829293087269,1.06115107913669,1.03589204629028,1.02485089463221,1.0452380952381,1.01357435379215,1.01890756302521,1.07442977190876,1.07580184247612,1.05357142857143,1.04850088183422,1.07622547347839,1.05357142857143,1.07718894009217,1.08333333333333,1.08601829671408
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,0.720620842572062,0.718735835650672,0.71576860912109,0.726829268292683,0.698710490595307,0.666247906197655,0.657142857142857,0.645795036764706,0.679959100204499,0.696753226607099,0.705882352941177,0.693212669683258,0.7080078125,0.702231941403779,0.711708470394737,0.71875,0.713966480446927,0.714285714285714,0.692076228686058,0.691695108077361,0.718301770506499,0.720620842572062,0.733333333333333,0.72,0.721111111111111,0.740196078431373,0.744937850842021,0.749462943071966,0.743735347246243,0.737268518518519,0.723180076628352,0.723180076628352,0.721111111111111,0.733333333333333,0.733418367346939,0.784375,0.777777777777778,0.757575757575758,0.766666666666667,0.758689839572192,0.769135802469136,0.773921200750469,0.810844155844156,0.739171374764595,0.727237504843084,0.772222222222222,0.775775775775776,0.776751412429379,0.790080738177624,0.809411764705882,0.811478758169935,0.826447876447876,0.816666666666667,0.867428571428571,0.84024442582412,0.866666666666667,0.862633719884933,0.892857142857143,0.902188940092166,0.9,0.905574516496018,0.878341865756542,0.906862745098039,0.867708333333333,0.824587912087912,0.875995449374289,0.878021978021978,0.866666666666667,0.905637254901961,0.91356783919598,0.944444444444444,0.960804020100502,0.96171802054155,0.93956043956044,0.933186813186813,0.947712418300654,0.965686274509804,0.945118187391598,0.924768518518518,0.952898550724638,0.970588235294118,0.982638888888889,0.982638888888889,0.988763690307105,1.00578703703704,1.0145251396648,1.04050925925926,1.04166666666667,1.04166666666667
