"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31312992988606,1.380444646098,1.25649038461538,1.24375,1.22222222222222,1.31613897152571,1.28793495660966,1.27272727272727,1.2720156555773,1.19047619047619,1.23794504643963,1.3125,1.33333333333333,1.33333333333333,1.38012295081967,1.33826879271071,1.4,1.33333333333333,1.33333333333333,1.33333333333333,1.2915288930877,1.30769230769231
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08007788210422,5.06756756756757,5,4.99275749947556,4.97939393939394,4.92649947753396,4.92633228840125,4.92307692307692,5.02444987775061,5.06533333333333,4.87615030674847,4.92011964662508,4.9875,4.99,4.99258160237389,4.95271120440328,4.96,5,5,5.01061535108953,5,5,4.99166666666667,4.84867591424968,4.7045101088647,4.79663577589845,4.87777777777778,4.85610766045549,4.7375,4.73508771929825,4.75,4.78922601026721,4.78958333333333,4.7494769874477,4.8,4.76666666666667,4.76351792861227,4.66666666666667,4.67741935483871,4.7045101088647,4.75600011157809,4.7489539748954,4.75299401197605,4.85781990521327,4.71153846153846,4.75,4.7432269874477,4.72083333333333,4.66666666666667,4.79867659222498,4.80916030534351,4.81323372465315
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.771476698484,2.77777777777778,2.73076923076923,2.77577649695805,2.8,2.8125,2.75,2.74074074074074,2.72727272727273,2.73508771929825,2.68809782608696,2.625,2.72222222222222,2.71130952380952,2.6,2.68181818181818,2.66666666666667,2.58278145695364,2.75,2.66388888888889,2.61324786324786,2.8,2.85,2.83333333333333,2.86666666666667,2.8,2.85895806861499,2.8,2.82352941176471,2.75,2.75,2.72727272727273,2.75,2.77942143326759,2.70294117647059,2.76470588235294,2.78222222222222,2.73738237810094,2.76923076923077,2.78174603174603,2.8125,2.82352941176471,2.75
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74583333333333,3.72727272727273,3.8,3.84461538461538,3.94736842105263,3.8962962962963,3.875,3.88333333333333,3.7875,3.70875,3.61832661290323,3.70051635111876,3.6875,3.77777777777778,3.70185185185185,3.75,3.66666666666667,3.699,3.75,3.73266666666667,3.625,3.61290322580645
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89408866995074,1.98618942731278,2.10812559923298,2.33333333333333,2.33333333333333,2.25,2.13571428571429,2.21146872093099,2.09821428571429,2.125,2.21335125448029,2.25046992481203,2.36650485436893,2.33333333333333,2.295,2.27857142857143,2.27857142857143,2.30582524271845,2.11111111111111,2.27478762135922,2.17619047619048,2.23076923076923,2.30692362598144,2.23831775700935,2.1875,2.11538461538462,2.3017094017094,2.325,2.39333333333333,2.59263392857143,2.49166666666667,2.40904761904762,2.42142857142857,2.578125,2.60660173160173,2.66666666666667,2.56410256410256,2.60714285714286,2.56666666666667,2.56304301758847,2.57692307692308,2.61357142857143,2.60714285714286,2.7,2.53846153846154,2.50607287449393,2.49166666666667,2.56428571428571,2.57694128787879,2.578125,2.66889383815887,2.70714285714286,2.77777777777778,2.77547638773819,2.74866785079929,2.67722473604827,2.63636363636364,2.58888888888889,2.686875,2.60714285714286,2.66666666666667,2.64142857142857,2.695,2.7,2.71071428571429,2.7
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991468253968254,1.02534701267351,1.05,1.05083333333333,1.10569852941176,1.11875,1.05869932432432,1.1224358974359,1.12230769230769,1.165,1.13636363636364,1.12916666666667,1.10653846153846,1.075,1.13571428571429,1.18278285792275,1.249375,1.20208333333333,1.15773115773116,1.12972027972028,1.25,1.27777777777778,1.26136363636364
"East Side","El Paso","TX","El Paso","El Paso County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757163628450757,0.741063644289451,0.788671310931585,0.790305584826133,0.755710659898477,0.716845878136201,0.717360483935293,0.769124265664652,0.749185667752443,0.740131578947368,0.762629410808174,0.76197597134043,0.765486725663717,0.755703422053232,0.811921891058582,0.800697787634554,0.807142479513614,0.807106598984772,0.807106598984772,0.794270833333333,0.797186520376176,0.740953947368421
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31125,2.33333333333333,2.40909090909091,2.4,2.4375,2.4375,2.4375,2.42857142857143,2.46153846153846,2.56,2.525,2.49714285714286,2.43650793650794,2.44041666666667,2.44333333333333,2.46770833333333,2.55,2.53863636363636,2.5,2.56428571428571,2.61384615384615,2.58064516129032,2.55902777777778
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925047438330171,0.903890160183066,0.92375,1.00966697502313,1.07051282051282,1.02941176470588,0.99375,1,0.903250188964475,1.06466817496229,1.04503676470588,1.04503676470588,1.1,1.02311994407271,1.09340659340659,1.12345845436677,1.11428571428571,1.21794871794872,1.20111731843575,1.15,1.11618678479144,1.1875
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.03313253012048,3.04500737825873,3.09090909090909,3.0968992248062,3.03009331916846,3.03863322302629,3.04112807491921,3.11377245508982,3.15652183694283,3.09827044025157,3.1,3.125,3.23303167420814,3.17424242424242,3.16019736842105,3.14441514860978,3.05718954248366,3.03738317757009,3.08765328874025,3.14597315436242,3.16053511705686,3.15789473684211,3.04899481193255,3.185,3.21290143964563,3.32222222222222,3.26666666666667,3.2,3.26416302955291,3.28107675906183,3.32596105233592,3.36842105263158,3.39080459770115,3.316,3.308,3.3886605336987,3.45454545454545,3.34967320261438,3.3,3.35294117647059,3.54901905252317,3.37807606263982,3.27070707070707,3.5,3.5998417721519,3.66666666666667,3.48660472319009,3.54545454545455,3.44255485893417,3.46153846153846,3.3
