"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61067372517081,1.61440677966102,1.66283363948128,1.64473684210526,1.6551724137931,1.66646895929432,1.55783582089552,1.54457831325301,1.54705882352941,1.50057825751735,1.4606962380685,1.4367816091954,1.43440851276083,1.4541958041958
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.801282051282051,0.803225518682775,0.909763313609467,0.925925925925926,0.893844867507075,0.934394632717168,0.946745562130177,0.867765799699105,0.973581213307241,0.865800865800866,0.902366863905325,0.747816593886463,0.850413234957676,0.917159763313609,0.84493041749503,0.914127423822715,0.944196428571429,0.943582510578279,0.944589350979729,0.954268292682927,0.961977186311787,0.911542610571737,0.898605830164765,0.895006029856196,0.896437468429995,0.898701298701299,0.898701298701299,0.903966954575071,0.93951093951094,0.899299258037923,0.898701298701299,0.921698233367362,0.916279069767442,0.946583564173592
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,0.747946859903382,0.731452455590387,0.713235294117647,0.717443731612333,0.73406862745098,0.750466081513234,0.746724553922119,0.806591500433651,0.78125,0.780729166666667,0.852564102564103,0.86042379573572,0.844907407407407,0.828125,0.791855203619909,0.77281679672984,0.770509977827051,0.783475783475784,0.7996632996633,0.761136712749616,0.781096512770137,0.797905926891736,0.781659388646288,0.777777777777778,0.78804347826087,0.777777777777778,0.787253388320139,0.799285714285714,0.798346747149564,0.783475783475784,0.784883720930233,0.804979253112033,0.801124243049821,0.789473684210526,0.797872340425532,0.795969880251057,0.783699059561129,0.777777777777778,0.785024154589372,0.780532598714417,0.774495677233429,0.772673223978467,0.776402473583498,0.781874279698291,0.783699059561129,0.778097982708934,0.79983164983165,0.826312110171998,0.833333333333333,0.819672131147541,0.833333333333333,0.83654070445533,0.833333333333333,0.839920948616601,0.876531362165922,0.910045034730173,0.914378875750044,0.897905759162304,0.952380952380952,0.952380952380952,0.917570009033424,0.927574171029668,0.957894736842105,0.960136217948718,0.975584415584416,0.975429827103255,1.02461033634126,0.971458653357151,1.01520086862106,1.04426305970149,0.907658141700695,0.993698956442831,0.986159169550173,0.927795031055901,1.01455133387227,1.00733216044734,1.04140428211587,1.09663409337676,1.10740040959047,1.1,1.11875,1.14822547269161,1.14766201804758,1.1854273723878,1.15672306322351,1.14642262895175,1.12068965517241,1.15481781376518,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0670013712246,5.22891473760989,5.22424242424242,5.20576131687243,5.20193630343438,5.20055865921788,5.12839879154079,5.15337423312883,5.17184988749598,5.24271696024182,5.29953917050691,5.24691358024691,5.23972951928959,5.23972951928959,5.21714726151614,5.22406151062868,5.22424242424242,5.24624277456647,5.25717703349282,5.25164113785558,5.25,5.27295304033715,5.27460202227004,5.27272727272727,5.1975051975052,4.71289274106176,5.1505016722408,5.11137224180702,5.06229508196721,5,4.99004080118694,5.02092050209205,5.17857142857143,5.20541201952153,5.1621266427718,5.19471488178025,5.15643948222541,5.1621266427718,5.12416666666667,5.07692307692308,5.10034843205575,5.12405609492988,5.09490188886851,5.0765306122449,5.04708904109589,5.00406004743,5.11538461538461,5.20504731861199,5.13883927482127,5.07697947214076,5.15053184212326,5.08246722414202,5.10018214936248
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,0.622353937341236,0.640394088669951,0.660535117056856,0.649913344887348,0.633964015279266,0.654876293781144,0.6875,0.68,0.67524143680956,0.66735112936345,0.66735112936345,0.675675675675676,0.677944454559757,0.658051318716238,0.645342312008979,0.656,0.660428785428785,0.676545300592718,0.670840787119857,0.670330109811003,0.675,0.675,0.668906536346976,0.649350649350649,0.65206299494009,0.640279394644936,0.635454545454545,0.635055038103302,0.635055038103302,0.644468313641246,0.648479427549195,0.643462469733656,0.642015256065391,0.655387422059503,0.649350649350649,0.640394088669951,0.643153526970954,0.642270460545615,0.649675324675325,0.65,0.655430711610487,0.656984785615491,0.654349499615088,0.66562091503268,0.665686274509804,0.664715719063545,0.666453342459503,0.654349499615088,0.688266199649737,0.704148302791309,0.694444444444444,0.678496868475992,0.685490877497828,0.687016337059329,0.722222222222222,0.735294117647059,0.734119875901444,0.74174636246554,0.748735648838108,0.719729043183743,0.722222222222222,0.735768524009995,0.722222222222222,0.721357907796787,0.731342813994463,0.732276719561346,0.761764705882353,0.779790628891656,0.805924946605825,0.810058474056925,0.818619655891554,0.807111111111111,0.835322195704057,0.875892857142857,0.875892857142857,0.840178571428571,0.843644544431946,0.840597758405978,0.853051058530511,0.872689938398357,0.874955011607994,0.912996777658432,0.878885316184352,0.877581120943953,0.871997289904685,0.881594017094017,0.864478114478115
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10664479081214,0.999519692603266,1.04245854281826,1.02642276422764,1.07841726618705,1.02122015915119,0.963499468701811,0.974264705882353,1.03509852216749,0.993377483443709,0.95023033689346,0.956848030018762,1.02669020111254,1.01102941176471,1.06382978723404,1.04602510460251,1.08921161825726,1.09489051094891,1.11219946571683,1.11793611793612,1.12275449101796,1.12916666666667,1.13561415220294,1.12381440603887,1.11136079900125,1.13825363825364,1.1681706316653,1.21130551816958,1.21104185218166,1.20918785890074,1.21015138023152,1.22863247863248,1.22342298758367,1.2363330529857
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54545454545455,1.46664405684755,1.66666666666667,1.5,1.68539325842697,1.79166666666667,1.77470826387235,1.6737012987013,1.79125,1.88823529411765,1.7375,1.83333333333333,1.74722222222222,1.94117647058824,2.04878048780488,1.90454545454545,2.06896551724138,1.82272727272727,1.85,1.85147058823529,1.93615942028986,1.9975
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,1.02741277590484,1.00828729281768,1.03270223752151,1.02001351138751,0.973654066437572,1,0.994431185361973,0.902335456475584,0.863318785972418,0.861904761904762,0.858632380221327,0.87596048298573,0.929403288692999,0.925925925925926,0.887514446875108,0.928630546889922,0.94272076372315,0.91164095371669,0.92505676581978,0.934518241347053,0.942609312348272,0.930715935334873,0.9375,0.934518241347053,0.930585317460317,0.933409658384745,0.918390804597701,0.909090909090909,0.914522058823529,0.93143596377749,0.946969696969697,0.903660515435274,0.882464349376114,0.935294117647059,0.989672977624785,0.988467874794069,0.983606557377049,0.996420047732697,0.96542080525823,0.988467874794069,0.984413453650533,0.990384615384615,0.956442831215971,0.946875937593759,0.946969696969697,0.951432211101001,0.958677685950413,1.02277021919879,0.991524240555665,1.09648917829844,1.0594262295082,1.03835978835979,1.04875,1.07663620481118,1.06359649122807,1.09017854083136,1.03782506723157,1.12903225806452,1.1422625469128,1.16279069767442,1.16271697685381,1.16810334812612,1.08540579170918,1.09834558823529,1.09536454929539,1.13768615950779,1.1313789359392,1.11694510739857,1.15258511979823,1.02559666210982,1.1378896882494,1.18438761776581,1.17619092010814,1.16612641815235,1.19010659113855,1.18670886075949,1.20112539232491,1.19951812949281,1.29909706546275,1.39382691656317,1.22737556561086,1.36648162604447,1.31506390434962,1.2962962962963,1.29640570137401,1.33517495395948,1.34998885412743,1.28753443526171,1.3008587137054,1.30047912388775,1.32058287795993,1.3491799102235
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,0.778732545649839,0.805330243337196,0.786551095346339,0.779014206868357,0.771916214119472,0.761190476190476,0.777552400270453,0.808878115545949,0.761485799375318,0.790167865707434,0.792059748427673,0.791986159378402,0.785063620589936,0.795101489188087,0.793804453049371,0.847551801746704,0.915032679738562,0.873936764412527,0.875862068965517,0.869061413673233,0.850215723873442,0.872672563143977,0.863961813842482,0.863961813842482,0.863961813842482,0.85985401459854,0.856289936834296,0.857449088960343,0.843208288190683,0.833333333333333,0.811211340206186,0.836718421421562,0.840066470666409,0.83560234999299,0.829979879275654,0.848214285714286,0.869061413673233,0.883997521572894,0.874756516717483,0.8875,0.859652249841786,0.860621326616289,0.863840585739246,0.902547065337763,0.877399341031377,0.935374149659864,0.935374149659864,0.904198232323232,0.933452840595698,0.960591133004926,0.963541666666667,0.943570767807586,0.972877358490566,0.968454223794781,1.01187763163606,0.968390038942406,0.996420047732697,0.992391304347826,1.04636920384952,1.05997210599721,1.05694433034859,0.997067188055457,1.01022668029112,1.0125,0.998913043478261,0.98541346973572,0.987229484822282,1.01139240506329,0.982079979879276,1.01578007742354,1.04936974789916,1.09772172903371,1.11625514403292,1.12903225806452,1.14028776978417,1.13816425120773,1.10216183247493,1.09970583360955,1.10135159636717,1.08136057019219,1.0997178829637,1.14,1.15095465393795,1.13381294964029,1.15231092436975,1.17375025002317,1.13420427553444,1.16017964071856,1.16075845012366,1.16279069767442
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,0.698127925117005,0.73953488372093,0.726616143941497,0.733862986159437,0.747311827956989,0.696286184780725,0.698127925117005,0.75,0.728155339805825,0.731309308320992,0.763428571428571,0.747863247863248,0.741029641185647,0.750753012048193,0.710526315789474,0.67015625,0.660876757650951,0.695323488045007,0.70576375711575,0.712857142857143,0.705882352941177,0.739371534195933,0.721111111111111,0.752879581151833,0.758578431372549,0.748587570621469,0.735294117647059,0.728144308403775,0.735294117647059,0.749766573295985,0.756646216768916,0.772727272727273,0.767533412533413,0.772727272727273,0.79187314172448,0.795238807884722,0.80188679245283,0.804020100502513,0.774055393203702,0.754189944134078,0.752094972067039,0.757575757575758,0.76979836979837,0.77741935483871,0.815217391304348,0.8296875,0.810124653739612,0.790104166666667,0.795152807391613,0.802872119216774,0.810612244897959,0.81125,0.783295157068063,0.81,0.821154247718405,0.841369731800766,0.850646671146795,0.857142857142857,0.860467980295566,0.878616156911453,0.888730158730159,0.876811984632684,0.920087082728592,0.892244757985499,0.916372202591284,0.91530309767304,0.933736559139785,0.962064936662157,0.933333333333333,0.918005784221716,0.934139784946237,0.931263858093126,0.91883445945946,0.889269533055941,0.927142857142857,0.891786179921773,0.915384615384615,0.932937798380959,0.93875050020008,0.983796296296296,0.980619465528147,0.989824558680491,0.974075285852046,0.986519607843137,1.00401606425703,1.00578703703704,1.00578703703704,1.024,1.02168836291913,1.04189763488544,1.05966101694915,1.08428571428571,1.08148148148148,1.10915828027658,1.0927970467033,1.1031532171337,1.0921875,1.08552631578947
