"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",1,,,,0.608011444921316,0.641000829821984,0.614466292134832,0.612307692307692,0.612307692307692,0.618565649180741,0.61683066928723,0.623405612244898,0.613729508196721,0.612745098039216,0.614285444007194,0.619343891402715,0.602723665223665,0.61328125,0.606998471305921,0.6025077508732,0.608234560199626,0.607287449392713,0.60437616995342,0.596912902486593,0.608354934801266,0.605520858598108,0.606240016249415,0.634398496240602,0.632183908045977,0.629058441558442,0.621820237422272,0.625,0.621219568670304,0.61751497005988,0.615871866545426,0.613415132924335,0.616776315789474,0.615942028985507,0.608728943338438,0.617259987731002,0.60228802153432,0.602280374403524,0.598495212038304,0.601415094339623,0.605095541401274,0.605867346938776,0.599865951742627,0.592991913746631,0.597426470588235,0.606709493219129,0.609276729559748,0.6124949979992,0.623612628827323,0.62421875,0.6210283073368,0.628587154695224,0.622017076061194,0.628994629584252,0.633404104741684,0.633157748573374,0.638138138138138,0.638669069069069,0.641069882977468,0.645096493043922,0.646853146853147,0.650293727407995,0.670430486944248,0.66,0.657153678847894,0.65581923066953,0.657219592002201,0.671296995611742,0.653819683413627,0.663303759645881,0.673588221277948,0.668154761904762,0.685003353708182,0.674221144024515,0.687103594080338,0.666438824333561,0.668718522663682,0.666166719636381,0.661725780836421,0.661989394498269,0.703964406012432,0.718520086721102,0.710227272727273,0.721873491067117,0.738958533859099,0.759109311740891,0.764253683536195,0.754147812971342,0.763554485464598,0.741158616550152,0.748210800260247,0.740742783174585,0.739299610894942,0.758938930929628,0.777992751241124,0.768420321400454,0.78968554541803,0.809388018541337,0.811105486694454,0.813632074577043,0.818735719725819,0.800375963322392
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42959264696378,5.64077669902913,5.59152677857714,5.64466772867199,5.65017667844523,5.66489361702128,5.55144337527757,5.49904214559387,5.48705302096178,5.49514563106796,5.57281553398058,5.52930056710775,5.53385416666667,5.56433408577878,5.50521887581467,5.52846937903126,5.50291545189504,5.56328233657858,5.57299843014129,5.57173385394681,5.57281553398058,5.57471264367816,5.59523809523809,5.66426364572606,5.70000165680866,5.32222222222222,5.46875,5.46168958742633,5.44497308727412,5.50996483001172,5.43248945147679,5.406,5.40540540540541,5.41638272556416,5.5045871559633,5.45977135461605,5.43248945147679,5.45928038839452,5.40014228715602,5.36053856670647,5.42192005823449,5.41939365826079,5.42118432026689,5.41760299625468,5.24914089347079,5.20385050962627,5.3343949044586,5.37340119874417,5.3411654391811,5.31400966183575,5.36185383244207,5.3,5.36385374548933
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9597855227882,5.11111111111111,5.14084507042254,5,5,5,5.07692307692308,5.10204081632653,5.10974524037803,5.17752100840336,5.14563106796117,5.1847584912101,5.21541950113379,5.21172638436482,5.19419202138749,5.15611614923345,5.06756756756757,5.09214384935947,5.15789473684211,5.17382677708765,5.21201413427562,5.14559960109698,5.16936208904599,5.07142857142857,5.05263157894737,4.9875,4.98843085106383,4.9894725177305,4.9875,4.66666666666667,4.98001946443317,5.0531914893617,5.17241379310345,5.221870604782,5.25210084033613,5.18927444794953,5.1640505025426,5.14285714285714,5.2,5.18192454494888,5.15739076200609,5.17179013084037,5.08155949741316,4.82107172651961,4.79223779063864,4.83064516129032,4.78458000012568,4.875,4.89457831325301,4.79521945764607,4.86478785402464,4.8385467579016
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",4,0.890524250070087,0.860148406809254,0.891485349909241,0.868312573825854,0.915551839464883,0.916591054205733,0.863960504662644,0.885714285714286,0.888888888888889,0.884389400921659,0.921273031825796,0.914675295847263,0.885608856088561,0.900167175557708,0.938936702742939,0.940497840552328,0.917973998482886,0.900074829309475,0.900961811898416,0.884180007685984,0.854758839833467,0.850261979791917,0.876143273531333,0.858024691358025,0.875547217010632,0.8984375,0.897540983606557,0.912408759124088,0.907715582450832,0.916118397930637,0.901379267689263,0.88722747947927,0.892857142857143,0.898398985162206,0.910140615962424,0.920206164078562,0.911764705882353,0.906782734856728,0.918164364425686,0.888286341217944,0.899305555555556,0.900473933649289,0.900448831231424,0.903169839853046,0.881680423585741,0.866731047802994,0.881147540983607,0.870295698924731,0.865939704939063,0.876807728479272,0.885231316725979,0.908590308370044,0.926124609972127,0.909090909090909,0.908521303258145,0.898309743343373,0.893605138229545,0.893605138229545,0.919439579684764,0.945494994438265,0.960807710322044,0.945131218149365,0.981432360742706,0.997058823529412,0.990360785487584,0.977411684782609,0.969251336898396,0.968033307888118,0.9765625,0.986842105263158,1.00783874580067,1.03098655730235,1.02647487356225,1.04515050167224,1.03848821081831,1.00794486105629,1.01096641535298,1.04176144980285,1.01612693688587,0.991276764472641,1.0117190865271,1.00289435600579,0.96148392163707,1.02813852813853,1.0597302504817,1.06177606177606,1.08156943727414,1.08446577501634,1.09205790140145,1.09821276090362,1.10522302706824,1.08403274628509,1.09032846715328,1.08166576527853,1.08259823576584,1.08928234421393,1.10608345902464,1.14345114345114,1.14795918367347,1.15180565959608,1.15384615384615,1.15354017501989,1.15125240847784,1.14678899082569,1.14443951243159
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",5,,,0.75187969924812,0.756051460276812,0.753856860747334,0.795782940654047,0.75846077598414,0.762799347013547,0.776263547525956,0.771869639794168,0.754527162977867,0.761415312159303,0.759199926140716,0.754527162977867,0.760661998726926,0.759206518783798,0.76873798846893,0.755390757278975,0.756608933454877,0.749464668094218,0.753186558516802,0.735728346456693,0.75154056623728,0.749444094231583,0.753787878787879,0.745003733357382,0.76212737926695,0.756636388701673,0.757077352472089,0.755287009063444,0.75046904315197,0.757575757575758,0.751294520626411,0.755239476841351,0.751421608448416,0.755939524838013,0.754589563570257,0.758054327226785,0.764536591850214,0.764352857723177,0.764008842929456,0.756600128783001,0.751610594130279,0.757864632983794,0.763241965421901,0.754593175853018,0.749040039379792,0.747086244688058,0.752840909090909,0.758361653617827,0.759244055677462,0.763171221101228,0.758530506501386,0.765199161425577,0.771730300568643,0.773349196906603,0.765794511805999,0.771604938271605,0.762717260760143,0.762428298279159,0.767481523592951,0.766750893737307,0.777630708140304,0.79514333918625,0.797413793103448,0.801689372736606,0.795755968169761,0.802453141550397,0.812215724496426,0.799436090225564,0.802453141550397,0.801068090787717,0.811584977721197,0.808274943946188,0.813114956372906,0.815789473684211,0.828970331588133,0.81913052654437,0.819672131147541,0.804079696394687,0.815024805102764,0.828098229583095,0.801938962604094,0.836773802744559,0.836393088552916,0.868055555555556,0.870041752434001,0.885826771653543,0.900900900900901,0.901162790697674,0.876369327073552,0.886223434187868,0.893001170600726,0.879662209711471,0.878334417696812,0.881410256410256,0.891967754467754,0.929824561403509,0.919281393339095,0.927091345593548,0.911606891082712,0.934579439252336,0.955414012738854,0.942770489996848,0.948223961468995
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,0.663779633565737,0.699988564133717,0.753006782742466,0.713805331376865,0.695544682613648,0.700242391597091,0.682499419014686,0.700190961171228,0.720461095100865,0.683511936884846,0.689989699858673,0.682773109243697,0.705505186637262,0.679665644710084,0.699671751772055,0.702615206593703,0.708778173190985,0.706638115631692,0.720966484801247,0.697643087085581,0.682382133995037,0.682100157906609,0.689484126984127,0.70362473347548,0.706791909369681,0.709619952494062,0.717562254259502,0.714285714285714,0.722394220846233,0.723938223938224,0.710405348934392,0.71806500377929,0.722789115646258,0.729604341736695,0.726768194774164,0.723448957311662,0.733190271816881,0.726154897599852,0.725925925925926,0.727939125112729,0.696036262862038,0.714285714285714,0.716332378223496,0.709901421195837,0.71338164764389,0.720371983737262,0.72376462371224,0.724937986870634,0.731529633711408,0.74762946754194,0.762555243069506,0.768272425249169,0.756540346517568,0.750377073906486,0.750377073906486,0.755335559690006,0.745877061469265,0.751157407407407,0.755667506297229,0.775927327781983,0.786564021314483,0.780487804878049,0.785714285714286,0.776492082825822,0.785730942356405,0.785582255083179,0.785714285714286,0.817500093956819,0.787769784172662,0.782017930629042,0.804924242424242,0.820793433652531,0.820016820857864,0.812855991070914,0.818827861206534,0.810810810810811,0.796359499431172,0.810536980749747,0.832411083042624,0.799350894772,0.787878787878788,0.809764001745038,0.844230769230769,0.834363411619283,0.87719298245614,0.892857142857143,0.890331912283541,0.891168599464764,0.886678200692042,0.890149468755628,0.891126520897747,0.890207715133531,0.90702947845805,0.926666666666667,0.954012966896385,0.969387755102041,1.03974962441621,1.02145920016287,0.99685534591195,0.981060606060606,0.979803493449782,0.956632653061224,0.942234848484849
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21633362293658,1.25313603885678,1.28485511208311,1.32352941176471,1.45833333333333,1.45121951219512,1.37772675086108,1.39687756778965,1.38879392006831,1.40392234343685,1.35006784260516,1.28900949796472,1.41911069063387,1.56347826086957,1.4537037037037,1.60942028985507,1.65367965367965,1.57142857142857,1.49253731343284,1.49253731343284,1.4118158123371,1.458
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54706758209943,4.84787018255578,4.75161987041037,4.71337579617834,4.78882660211492,4.91554054054054,4.65403331091506,4.71436494731004,4.78260869565217,4.8,4.78047677364798,4.6875,4.66045272969374,4.72920595013618,4.61900381811871,4.53220942196228
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,2.25576470588235,2.1875,2.11495535714286,2.32592592592593,2.66666666666667,2.61111111111111,2.65486725663717,2.4897307073955,2.33449494949495,2.58081649058337,2.625,2.66272189349112,2.73623188405797,2.47813411078717,2.45171673819742,2.44252503576538,2.59934782608696,2.68580571053495,2.58876050420168,2.59,2.72189349112426,2.74222767253045,2.82222222222222,2.70721677516354,2.57142857142857,2.67527675276753,2.8,2.63323471400394,2.56756756756757,2.69464285714286,2.74740020127474,2.58072916666667,2.9585798816568,3,3.13333333333333,3.11515151515152,3.1037518037518,3.26796116504854,3.31345984112974,3.24582847707848,3.22093067318441,3.03571428571429,2.8125,3.13874345549738,3.14285714285714,3.00578034682081,3.17394736842105,3.19605943152455,3.00778210116732,3.01369863013699,3.24193548387097,3.19217054263566,3.27522935779817,3.3,3.14723032069971,3.4375,3.28571428571429,3.46639784946237,3.85348598539655,3.48484848484848,3.49004080118694,3.3218045112782,3.47498238195913,3.46774193548387,3.4375,3.52620690934729,3.48484848484848,3.85566119273984,3.93095238095238,3.81768953068592,3.92705205205205,3.93634259259259,3.90246913580247,3.78571428571429,3.66374781085814,3.88531034315155,3.78871518170079,3.68107566651256,3.68231046931408,3.68673050615595,3.6225,3.68561278863233,3.78787878787879,3.70512685097481
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,0.980409968273099,0.950141609629455,0.963183062819953,0.924918389553863,0.9301629944013,0.926249497184232,0.861715149769585,0.911708253358925,0.970736051472517,1.01702297160066,1.00066755674232,0.974658869395711,0.979043374711316,0.963020030816641,0.956429330499469,0.97718247878463,0.969184890656064,0.960517821450297,0.945378151260504,0.954198473282443,0.961832061068702,0.940460081190798,0.95099927136463,0.991271820448878,0.967861164793496,0.977811345519555,0.990045633256733,0.964696223316913,0.983899821109123,0.974658869395711,0.969774016244223,0.96910480194796,0.988287542699893,0.965559894502259,0.968288218774954,1.00046884284017,0.998263888888889,0.974830093251146,0.978473581213307,0.978856695379796,0.989837398373984,0.986842105263158,0.971753003003003,0.975499092558984,0.997802546864777,1.01801096319499,0.983899821109123,0.962994112699748,0.95707656612529,0.952380952380952,0.965429715429715,1.00653010913523,1.02048857368006,1.01224105461394,1.02222222222222,1.01321585903084,1.0181704510476,1.04240461538747,1.04427849146159,1.03448275862069,1.05504587155963,1.12645761556809,1.10676589272104,1.09680289160941,1.09069246697627,1.07301505560021,1.10055873931168,1.11282330915173,1.11806797853309,1.18243243243243,1.1442034937477,1.1543012235533,1.14457831325301,1.16495806150979,1.18247585631904,1.14883007288071,1.14068441064639,1.15930951148512,1.14042933810376,1.14213197969543,1.15986432953516,1.15452930728242,1.11336032388664,1.22309027777778,1.20273109243697,1.21382842509603,1.20726373634908,1.21794871794872,1.20686122922304,1.21571577829542,1.20341614906832,1.20042492917847,1.21388461749684,1.23031826718142,1.25295993182111,1.2609561752988,1.28322639780018,1.23937677053824,1.30190949043169,1.30429131747203,1.31028938906752,1.34505021520803,1.38888888888889,1.34383871517851,1.37139899948249
