"RegionName","City","State","Metro","CountyName","SizeRank","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,695,795,742.5,725,721,710,700,730,685,692,699,690.5,692,699,724,724,707,715,724,734,734
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,1000,943,1000,925,970,910,885,821,725,740,850,940,948,915,973,949,961,1005,1005
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,2900,2775,2800,2900,2650,2600,2700,2800,2850,2750,2800,2825,2850,2875,2950,3000,2900,2945,2950,2975,2990,2900,2900,2927.5,2990,3000,3000,3000,3000,2990,3000,3000,2999,3000,3000,3000,3100,3095,3000,3050,3000,3000,3000,3000,3000,2950,3280,3295,3250.5,3250,3295,3250,3216,3250,3295,3300,3202.5,3200,3250,3295,3300,3300,3277,3250,3250,3250,3275,3250,3295,3225.5,3070,3200,3250,3250,3235,3195,3150,3200,3195,3185,3150,3190,3199,3207.5,3200,3195,3199,3204,3200,3200,3175,3195,3252,3226,3200,3211.5,3226,3239.5
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,2362.5,2500,2550,2675,2500,2400,2300,2200,2150,2200,2300,2450,2450,2400,2400,2450,2400,2460,2500,2500,2450,2495,2495,2495,2450,2495,2495,2495,2500,2500,2550,2550,2525,2500,2500,2500,2450,2450,2350,2450,2550,2562.5,2550,2550,2550,2595,2600,2595,2550,2550,2700,2695,2700,2700,2775,2795,2725,2800,2800,2795,2700,2717.5,2725,2795,2800,2750,2775,2795,2795,2800,2800,2795,2790,2700,2695,2700,2700,2700,2695,2700,2700,2715.5,2725,2700,2695,2700,2700,2695,2750,2700,2708.5,2700,2700,2695,2650,2600,2649,2695,2695,2695,2700,2750
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,985,905,975,985,835.5,850,890,885,850,850,900,922.5,935,950,950,950,990,999,940,940,975,947,950,999,1054,1099,1135,1135,1125,1132.5,1117,1131
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,1285,1275,1283,1300,1300,1300,1300,1325,1350,1325,1325,1300,1325,1325,1350,1350,1350,1350,1350,1380,1400,1400,1400,1400,1400,1400,1450,1450,1450,1450,1450,1450,1495,1495,1490,1495,1495,1500,1500,1500,1500,1500,1501,1550,1595,1575,1565,1550,1595,1595,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1584,1595,1600,1662.5,1661.5,1650,1647.5,1650,1700,1700,1675,1650,1662.5,1650,1650,1695,1675,1700,1697.5,1700,1700,1700,1700,1700,1700
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.5,700,724,724,735,729.5,725,688,772,741,768.5,782,821,880,870,875,805,835,841,848,808,846,918,808,892.5,831,899,801.5,856,804.5,880.5,825,808,820.5,825,825,815,848.5,849,827.5,832,844,797.5,815,879,824,845,877,870
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,605,600,580,509.5,469,469,480,489,492.5,494,557.5,544.5,533.5,539,509,505,519,542.5,539,529,529,529,535,545,549,550,575,539,535,529,514,519,539,622,578,529,616.5,585,570,534,559.5,569,569,611,585,559.5,585,585,609,630,609,679,622,625,623.5,625,642,636,639.5,633,617.5,684,622,658,666.5,699.5,669,685,700,777.5,786,809,785,756.5,739.5,715,687,700,711,744,752,729,794,774.5,769,762.5,779
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",9,,,,,,,,,,1549,1525,1500,1495,1525,1550,1575,1575,1595,1600,1600,1650,1635,1642.5,1650,1695,1650,1700,1750,1800,1895,1850,1800,1850,1825,1825,1825,1825,1850,1925,2000,2000,2000,1995,1950,2000,2000,2000,2000,2025,2000,2025,2100,2000,2070,2045,2023,2000,2000,1950,1950,2000,1950,1950,2000,2000,1950,1999.5,1950,1920,1950,1900,1950,1950,1975,2000,2050,2000,2100,2100,2000,2000,2000,1975,1925,1900,1999,1995,2000,1999,1975,1900,1900,1900,1900,1950,1950,1950,1900,1902,1975,2000,1995
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,800,777,747,746.5,746,725,725,734,690,665,653,670,685,687,685,688,699,704,710.5,720,706,718,739,750,710,710,715,730,717,725,747,824,825,805,825,845,829.5,833,826.5,774.5,832,832.5,842,873.5,865,875,860,854,875,849,849,860,866.5,855.5,855.5,849,872,872,887.5,880,890,917,910,918,906,924,970,1056,974,957,920,954,950,993,957,955,951,950,941,937,945,930,925.5,944,950,964,964,978,980,970,1010,995,995
