"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,995,995,995,1049,1075,1049,995,1050,1050,1050,950,995,1070
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,2635,2685,2750,2800,2800,3000,2925,3095,3095,3050,3100,3000,3095,3000,3075,3095,3132.5,3050,3200,3237,3300,3300,3100,3095,3000,3147.5,3100,3199,3212.5,3200,3200,3299,3395,3295,3300,3299,3295,3300,3300,3300,3300,3300,3300,3300,3295,3300,3250,3250,3300,3300,3325,3200,3250,3295,3300,3350,3350,3325,3295,3295,3295,3295,3300,3250,3286,3225.5,3175,3250,3350,3295,3150,3195,3200,3153.5,3153.5,3195,3200,3250,3300,3300,3300,3230,3250,3259,3210,3179,3150,3232,3250,3226,3200,3295,3250
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,1987.5,1795,1900,1872.5,2000,2197.5,2000,1995,2000,2072.5,2150,1895,1850,1840,1900
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,2350,2300,2300,2450,2497,2500,2450,2495,2495,2500,2550,2595,2600,2595,2595,2600,2595,2595,2612.5,2650,2600,2650,2695,2700,2750,2750,2700,2700,2750,2725,2750,2725,2700,2700,2750,2800,2750,2700,2695,2700,2750,2795,2795,2800,2725,2700,2700,2700,2725,2750,2700,2795,2800,2800,2695,2750,2750,2800,2830,2799,2750,2700,2725,2750,2800,2795,2750,2697,2699,2700,2700,2700,2700,2695,2700,2750,2750,2750,2750,2750,2765,2795,2800,2775,2791,2750,2747.5,2700,2700,2675,2700,2750,2750,2750,2750,2799
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",5,,,,,,,,1600,1600,1500,1483,1470,1450,1477,1500,1500,1500,1500,1600,1600,1592.5,1585,1600,1600,1600,1600,1550,1562.5,1600,1550,1550,1600,1600,1600,1535,1500,1500,1545,1550,1500,1546.5,1550,1550,1600,1600,1600,1600,1675,1675,1650,1700,1750,1750,1799,1749,1800,1800,1900,1850,1700,1695,1800,1800,1850,1900,1900,1900,1800,1800,1850,1875,1999,1800,1900,2000,1895,2000,2000,2050,2099.5,2099,2000,2000,1950,1900,1900,2000,2100,2108,2199,2150,2150,2150,2200,2200,2125,2175
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,1475,1450,1450,1472,1500,1575,1475,1550,1525,1525,1550,1525,1500,1480,1650,1650,1700,1650,1625,1595,1674,1648,1650,1650,1650,1694.5,1670,1695,1700,1750,1700,1700,1700,1700,1700,1700,1750,1799,1800,1800,1850,1895,1900,1850,1897.5,1900,1900,1925,1900,1925,1950,1950,1995,1995,1950,1950,1950,1900,1950,1995,1995,1995,1900,1925,2000,1937.5,1900,1985,1900,2100,2000,2000,2047,2100,2100,2186,2100,2000,2000,1995,1995,2000,2000,2010,2050,2095,2100,2100,2150,2150,2100
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",7,,,,,,1600,1600,1625,1700,1800,1867.5,1800,1800,1910,1800,1825,1800,1895,1805,1900,1977.5,2100,2150,2250,2240,2056,2000,1950,1950,1999,1950,2097,2095,2150,2125,2175,2200,2136,2100,2150,2160,2160,2200,2300,2260,2300,2400,2375,2395,2300,2300,2295,2299,2250,2295,2300,2300,2300,2350,2340,2300,2350,2300,2300,2295,2300,2300,2300,2300,2350,2400,2400,2350,2400,2200,2250,2200,2200,2200,2200,2300,2300,2350,2275,2200,2200,2200,2198,2200,2200,2200,2200,2200,2250,2295,2299,2200
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,1500,1500,1500,1500,1495,1500,1597.5,1650,1600,1600,1500,1600,1650,1650,1700,1700,1700,1700,1795,1875,1800,1800,1800,1750,1750,1799.5,1799,1800,1850,1990,2000,2200,2200,2199,2150,2199,2150,2100,2150,2150,2150,2200,2250,2300,2300,2200,2295,2300,2250,2291,2300,2395,2499,2500,2450,2475,2450,2450,2475,2400,2450,2400,2399,2400,2400,2450,2499,2500,2495,2475,2500,2323,2400,2350,2300,2395,2400,2446,2430,2499,2475,2474.5,2400,2350,2350,2300,2389,2448,2500,2516,2590,2575,2500,2499
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,2977,2900,3080,2900,2994.5,2925,2900,2990,3000,3000,3100,3100,3025,3000,3000,3046,3000,2950,2950,2995,3000,3157,3198,3156,3150,3136,3100,3029,3000,2950,2930,2935,3000,3300,3300,3200,3250,3220,3100,3250,3300,3250,3250,3040.5,3150,3099,3095,3000,3000,3100,3250,3275.5,3400,3195,2995,3000,3025,3095,3098,3100,3100,3062,3000,2950,2899,2900,2950,2900,2999,3000,3000,3000,3000,2995,2975
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.5,1549,1497.5,1525,1550,1495,1450,1450,1395,1495,1495,1495,1495,1450,1437.5,1495,1695,1519.5,1561,1495,1650,1815,1695,1572.5,1550,1450,1450,1662.5,1700,1695,1600,1650,1650,1600,1695,1750,1872.5,1950,2050,1724.5,1850,1650,1695,1650,1724.5,1650,1750,1750,1795,1800,1750,1700,1695,1700,1750,1895,1895,1795,1725,1825,1800,1815,1945,1850,1795,1845,1825,1850
