"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,332800,333500,334300,335000,335700,336400,336900,337300,337600,337800,337800,337600,337300,336900,336400,335700,335000,334200,333200,332200,331100,329900,328600,327300,326000,324700,323500,322400,321200,320100,319100,318100,317100,316100,315100,314100,313200,312300,311500,310900,310300,309800,309400,309100,308900,308700,308600,308600,308700,308900,309200,309700,310300,310900,311600,312300,313100,313900,314700,315300,316100,317100,318100,319300,320500,321800,323200,324600,326100,327500,328900,330100,331500,333000,334400,335800,337300,338800,340300,341700,342800,343400,343300,342400,341000,339500,338200,337300,336700,336400,336300,336800,338600,341600,345600,350000,353900,356800,358600,359500,359700,360000,360900,362200,363700,365100,366300,367700,369400,371200,372900,374100,374800,374700,373900,372800,371800,371700,372700,375200,378900,383300,388500,394700,401500,408600,415300,421000,425100,427800,429000,429500,429500,429100,429200,430400,431800,433100,434000,434200,433500,432200,430300,429000,428100,426600,424600,422800,420900,419200,417700,416300,415300,414900,414300,413900,413200,411700,409600,407800,406500,406100,406800,407800,409200,410800,412600,410500,406400,404300,403600,400500,397900,396000,394600,394100,395000,395500,394000,391800,391500,394100,397000,399200,401100,402800,403500,404300,404800,406000,409000,413900,418400,421500,424200,427700,430600,431300,431600,431800,430800,429600,430700,433900,437200,438100,438000,439100,441200,442100,442100,442700,444200,444300,443300,443400,444900,446700,448500,450400,452200,454300,455700,456300,457400,459300,461100,463600,466200,467100,466600,465300,464100,464200,464800,465900,467900,469400,469900,472400,476400,479900,483800,489100,494500,500500,507500,515500,523800,532500,538200,540700,539700,539100,539500,542300,545100,548800,555100,559700,559600,561800,571000,576800,579500,584100,591500,595900,598300,600800,605300,608900
192689,"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,192800,192800,192700,192600,192600,192600,192700,193000,193400,193900,194300,194600,194800,194900,195000,195000,195100,195200,195300,195600,196000,196400,196800,197000,197100,197200,197300,197400,197500,197600,197900,198300,199000,199800,200400,201000,201600,202200,202700,203300,203900,204600,205500,206600,207800,209200,210400,211500,212600,213600,214500,215400,216400,217400,218600,220000,221500,223100,224600,225900,227200,228400,229500,230500,231500,232600,234000,235400,237100,238700,240200,241500,242600,243600,244500,245200,246000,247000,248300,249700,251200,252900,255000,257200,259700,262700,266300,270600,275600,281200,287700,295000,303100,311900,321300,331500,343000,355800,370200,385500,400200,413500,424600,433500,440900,447600,453900,460200,466000,470500,473900,476600,479000,481300,484100,487300,490900,494600,498100,501700,505300,508000,509700,510000,508600,505700,501800,497000,492200,487900,483400,478800,474700,470800,466600,462200,457600,452400,446300,439000,430100,420000,408800,397300,386200,375400,364800,355200,346800,338900,330900,322900,315000,307300,299300,290900,282600,274700,266800,259700,254200,250400,248100,247200,247400,247900,248300,248300,246200,243700,242200,240600,238000,236400,234300,231900,229000,225400,222400,220000,218700,217000,214300,211200,208700,206200,205100,204300,203400,203800,205600,208300,210200,212200,215400,219700,223400,226300,229000,232800,237800,242400,246000,249100,253800,259600,265200,270000,275100,279800,283400,285300,286700,288200,291100,294500,297100,298800,300000,300700,301300,301900,302400,303300,304900,306400,307400,308400,309800,311700,314300,317200,319400,320400,320600,321700,323300,324700,325200,325100,326400,328000,328800,329400,330900,332600,334900,337000,338000,338600,340400,342700,344800,347400,351100,354400,356600,359000,361700,363800,366600,371100,375600,378300,380500,383700,387000,389800,393400,397500,401700,405300
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,139000,138800,138800,138700,138600,138500,138600,138600,138800,139300,139800,140100,140400,140800,141200,141600,142000,142600,143200,143800,144600,145500,146500,147200,148000,148700,149300,149900,150500,151000,151700,152300,152900,153700,154500,155100,155700,156300,156800,157400,158000,158600,159300,160100,161000,162100,163300,164400,165400,166300,167200,168000,168800,169700,170600,171600,172600,173800,175200,176400,177600,178700,179900,181000,182300,183600,185200,186900,188700,190900,193200,195600,198000,200400,202700,205100,207500,210000,212500,216300,221000,225000,228200,232000,236100,240700,245800,251300,256900,262400,267900,273000,278000,283300,288900,294700,300700,306800,313000,319400,326100,333100,340300,347000,353700,360800,368000,375400,383400,391600,400500,410000,419700,429300,438300,446300,453500,460300,467100,474400,482200,489700,497400,505100,512100,518200,523600,528100,531500,533800,534800,535200,534800,533200,531400,529600,526800,522600,517500,511900,505700,499100,491900,484000,474700,464100,453100,443000,433000,423000,413000,402800,392400,382400,372400,362000,350700,339100,327400,315800,304900,295800,289200,285000,283100,282600,283100,281500,279300,278500,278200,276400,275300,275100,274900,273800,273000,272300,270600,269400,269700,270900,271700,272600,274000,276000,278300,280100,280000,279000,279700,281900,285600,290400,295200,299600,302400,304400,307700,312700,316600,318600,320300,324400,329500,334100,337700,340400,342800,344500,343100,341300,342900,346900,351400,356000,358800,360200,362900,368300,374800,380100,384400,388200,391200,395100,399900,403400,405400,407200,408300,408500,409200,411500,413600,415600,418400,420600,421700,423700,427200,431800,438900,448300,455600,460800,466700,472200,478000,483800,488800,494000,500400,504000,505500,507000,511700,518400,524900,531600,537800,545000,553400,559500,561400,563000,566700,573300,579700,584100,589700,595900
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,171500,171700,171800,171900,172100,172300,172500,172900,173300,173800,174100,174300,174400,174500,174500,174600,174700,174800,175000,175300,175800,176200,176600,176800,176900,177100,177300,177500,177900,178300,178800,179500,180300,181200,182100,182700,183400,184100,184800,185400,186200,187000,188000,189000,190200,191300,192300,193200,193900,194600,195200,195900,196600,197300,198200,199200,200300,201300,202200,202900,203500,204100,204600,205200,205900,206700,207700,208900,210100,211400,212600,213500,214200,215000,215700,216400,217200,218200,219500,220800,222200,223500,224900,226600,228500,230900,233900,237500,241800,246600,252000,257900,264400,271500,279400,288200,298200,309000,320700,332300,343000,352300,360300,367300,374100,380800,387000,392700,397500,401400,404800,407900,410700,413400,416200,419100,422300,425900,430100,435100,440500,445600,449600,452000,452400,451500,450100,448300,446500,444200,440900,436500,431700,427100,422800,418500,413600,408100,402200,395000,386200,376000,365200,354400,343600,332700,321900,311300,301300,291800,282800,274000,265100,256100,246800,237000,226900,216800,207700,200400,194900,190600,187200,184600,182700,181400,180500,180200,179900,179300,177800,176300,175300,174900,173700,172800,171800,170300,169000,168500,168300,168900,169200,168100,166100,164000,162800,162100,161000,160400,160400,160400,160200,160200,161100,163200,165700,168100,169900,171800,174800,178500,182500,186500,190500,193500,196600,199300,201700,203900,206800,208800,210900,213000,214600,216500,219300,222100,225500,229500,232800,235400,236500,236300,236500,237500,239000,240200,241000,242800,245200,247500,249800,251600,253100,256100,258800,260400,261500,262800,264800,267400,269500,271200,273300,275500,278000,280900,283100,284800,286400,288400,290500,292900,294900,296600,298300,300800,304600,308800,312500,316900,322000,326300,329300,331700,334100,336300,338600,341000,344300,347800
192796,"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,233500,232900,232400,231900,231400,231100,230800,230700,230800,231000,231100,231200,231200,231200,231200,231100,231100,231100,231100,231200,231500,231700,231900,231900,232000,232000,232100,232200,232300,232500,232800,233300,234000,234700,235400,236000,236700,237500,238300,239200,240100,241100,242200,243600,245100,246600,248100,249300,250500,251600,252700,253700,254600,255400,256200,257300,258300,259300,260100,260700,261200,261700,262200,262600,263100,263600,264300,265200,266400,267600,268500,269400,270100,270800,271500,272100,272700,273500,274500,275300,276200,278000,280500,282900,285700,288900,292800,297600,303500,310500,318700,328100,338600,349700,361500,374500,388800,404100,420600,437700,454100,469100,482200,493400,503000,511300,518300,524400,529500,533100,535600,537200,538300,539300,540600,542000,543700,545700,548000,550800,553600,555900,557100,556400,554100,551000,547700,544500,541900,539600,537200,534300,531100,527700,523400,517700,510900,503300,494700,484400,472000,458200,443800,429900,417200,405900,395200,384900,375700,367600,359900,352400,345100,337800,330200,322000,313600,305100,297500,291500,288000,286300,285600,285300,285300,285500,285400,285900,285300,283500,281400,279100,276300,274100,270400,266300,262500,259100,256600,254700,252900,250600,248500,247000,245200,242300,240600,239900,239400,240500,242000,243200,244300,246400,249000,252900,256400,258800,261400,265600,270000,273100,275900,278800,282700,288000,294000,298900,303600,308100,311700,313900,316000,318800,323500,329000,334300,338900,342200,344100,345800,346900,347300,347900,349500,350300,350100,349200,348100,347300,347500,347400,346900,347000,347800,349200,350900,352400,353500,355600,358800,362000,363800,365100,366800,368700,371200,374200,376800,378800,381000,383500,386900,390200,392300,393500,395700,399300,403400,406400,408800,411600,414400,415900,416200,417000,419500,423500,428000,433000,437700,440900
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6,128500,128500,128500,128600,128600,128800,128900,129200,129600,130100,130600,131100,131500,132000,132500,132900,133400,133800,134400,134900,135500,136200,136900,137400,137800,138100,138300,138500,138600,138700,138900,139100,139400,139700,140000,140100,140300,140400,140400,140400,140500,140700,140900,141200,141600,142200,142800,143200,143600,144100,144500,144800,145300,145700,146200,146800,147500,148400,149200,149900,150600,151300,151900,152500,153200,154000,154900,156000,157200,158700,160100,161500,162900,164100,165400,166600,167900,169300,170800,172900,175500,178200,180700,183500,186200,189000,192100,195700,199800,204400,209700,215100,220500,225900,231400,237400,244000,251100,258600,266100,273400,280300,286700,292600,298500,304800,311400,318600,326900,335800,345500,355700,365400,374200,382000,388700,394800,400900,406700,413000,419900,426600,432600,438400,443500,448200,452500,456700,461100,465800,468600,470400,472000,472600,471500,470500,468500,465400,461200,456500,451800,447400,441000,433600,425800,416900,405700,394700,383400,371800,360000,348400,337700,328200,317700,306500,295400,283900,272600,264600,259500,255700,252600,250700,248900,245000,244700,243700,240400,237900,239000,236400,233900,233200,235100,236200,235800,234400,233500,232900,232000,231800,232000,232400,232100,231800,231200,230400,230000,230700,231700,233800,237300,241200,244100,246800,249300,251900,254000,256400,258000,259500,259900,261800,264500,268800,273500,279000,282900,285000,286000,286900,287900,289400,292200,296800,300500,301600,301600,303500,305500,306200,306700,308300,311800,316300,320800,325000,330900,336300,339600,342200,345700,348900,351200,353900,358900,365100,368600,370100,372200,375300,377300,379100,381600,384500,388200,393200,398900,403100,406700,410400,414400,417200,420100,424100,430100,437300,444700,450400,454500,458200,461900,463500,464700,468200,472600,476100,477800,479000,480400,481500
273698,"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,383300,383200,383300,383500,383800,384200,384400,384600,384700,384600,384300,384000,383700,383500,383400,383500,383500,383500,383500,383400,383100,382800,382300,381900,381700,381700,382100,382600,383400,384300,385300,386400,387400,388300,389200,390100,391200,392600,394300,396200,398300,400400,402400,404300,406000,407400,408500,409500,410600,411900,413400,415000,416700,418200,419600,420900,421800,422400,422500,422400,422400,422700,423200,423900,424700,425500,426100,426500,426700,426600,426000,425300,424800,424600,424900,425400,426100,426800,427400,427500,427000,426900,427300,427200,426300,424600,422100,418800,415200,411900,409500,409000,410800,414400,419400,424900,430000,434200,437200,439500,441700,444200,447100,450300,453600,456800,459800,462700,465600,468700,472000,475000,477200,478600,479300,479700,480000,480700,482400,485800,490700,496300,502100,508000,513700,519300,524300,528400,531100,532200,531600,530200,528600,527300,526700,526300,525600,524700,523600,521800,519200,516000,511900,506700,500200,493000,485600,480100,476800,474700,472300,470000,468100,466700,465200,463300,461300,459100,457100,455700,454700,453900,453600,453300,453400,453500,453900,453200,453300,454700,456300,455900,455600,455100,454800,454000,452900,451600,450200,448800,448200,448600,449100,449100,448700,448500,448900,449700,450200,450200,451000,453000,453300,452200,451400,451600,450700,449600,448300,447800,447600,447600,447000,448400,450600,453700,457200,460200,461600,461700,461800,462900,463500,463700,464300,463700,461400,459600,459100,460100,462000,464200,466800,469500,472300,474300,475400,476500,478600,481700,485200,488200,491800,495100,497500,499800,505100,509300,510900,514300,522700,529000,531600,534900,538500,541400,547000,554100,559100,563100,568400,572300,575000,578800,582700,584800,591000,600200,603300,599700,597100,603200,616400,630500,638300,641000,640300,640400,638800,635600,634500,636300
32059,"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,291100,294900,298500,302000,305400,308600,312100,315700,319900,324500,328700,332000,335400,338600,341600,344200,346600,348700,350900,353200,356000,359400,362200,364100,365900,367700,369300,370800,372200,373700,375800,378300,381800,386100,390500,394600,399000,403700,408700,413800,419100,424600,430800,437600,445400,454000,462300,469900,477300,484500,491300,497500,503100,508400,514000,519700,525900,532500,539000,544800,550300,555500,560500,565200,569500,574100,579800,586400,594200,603000,612300,621600,631000,640200,649300,658100,666400,674900,683900,697700,716500,734300,747700,759000,766900,772100,777300,784900,795900,809400,822600,832600,839600,847000,858200,874300,896200,922900,952600,983700,1014600,1044100,1071200,1094000,1113400,1131800,1150800,1170900,1193100,1217600,1243400,1268100,1290300,1310600,1328700,1342500,1351100,1355500,1356600,1356200,1355600,1355900,1356600,1356600,1356100,1356600,1356300,1353900,1350900,1349300,1349200,1347800,1343100,1335200,1324400,1309700,1294200,1281600,1271800,1263600,1258700,1257400,1259100,1258700,1253900,1246300,1237600,1226700,1217000,1211000,1206600,1200300,1193700,1188200,1184500,1178000,1169500,1160200,1156900,1160900,1171700,1183900,1194000,1197400,1200400,1202900,1203100,1199100,1205100,1215700,1221500,1218300,1215300,1204000,1197500,1200000,1194600,1184800,1181200,1185600,1183300,1177900,1182800,1200900,1205800,1194000,1181500,1176300,1191200,1217800,1218000,1195100,1178200,1186100,1186500,1173300,1174200,1210900,1232700,1232700,1233600,1246900,1267300,1288500,1308100,1323200,1325800,1318100,1314400,1307500,1297100,1289400,1288800,1289700,1298600,1329100,1360500,1361600,1355400,1375400,1393000,1384800,1392300,1441600,1475200,1449400,1434600,1466900,1513100,1538100,1565700,1590900,1581500,1556800,1568500,1599200,1620300,1648200,1674900,1673300,1655000,1662800,1681800,1697600,1722000,1780600,1822100,1828000,1818200,1830100,1842500,1860300,1892200,1911300,1908500,1898600,1915400,1953500,1981900,1982700,1976500,1981500,1994900,1995900,1967100,1947800,1980900,2033900,2062800,2050800,2033200,2020700
273566,"East Side","El Paso","TX","El Paso","El Paso County",9,152400,152300,152200,152000,151900,151800,151800,151800,151900,152000,152100,152200,152400,152600,152800,153000,153300,153600,154000,154500,155000,155400,155900,156200,156600,157000,157300,157600,157900,158200,158600,159000,159400,159800,160200,160500,160800,161100,161400,161800,162100,162400,162800,163200,163600,164000,164200,164400,164500,164700,164700,164800,164800,164800,164800,164900,165000,165100,165000,164900,164800,164700,164600,164400,164300,164300,164400,164500,164800,164900,164900,164900,164800,164800,164700,164500,164500,164500,164700,164800,164900,164900,164800,164700,164400,164400,164500,165000,165700,166600,167500,168500,169800,171700,174000,176600,179300,182100,184700,187100,189200,191200,193100,195000,197200,199500,201800,204000,206200,208300,210400,212400,214200,215800,217200,218400,219700,221200,223200,225700,228200,230600,232900,234900,236500,237900,239300,240600,241900,243100,244000,245100,246600,248700,251200,254100,257200,260500,263800,266400,267600,267600,266800,265600,263800,261800,260100,258700,257500,256500,255400,254500,253800,253500,253200,252600,251500,250100,249400,249700,250300,250600,250200,249500,248900,248600,248600,249200,249700,250300,250300,249200,247600,247100,247200,246800,246500,246500,247100,248000,249400,249600,248900,248200,247900,246800,246600,248400,249500,248900,247500,245300,243300,243300,243700,242900,242700,243200,243200,243000,243600,243900,243700,244100,245200,245900,246500,247200,247100,246400,245300,243900,242700,243100,243200,242500,241700,241100,240300,239600,237500,234700,232600,231100,230600,230800,231800,233400,235300,235800,235200,235600,237900,240300,242200,243900,244500,244300,243500,242300,240000,238500,239000,240100,239600,239100,239100,238900,238000,237100,236900,237300,237500,238000,239300,240600,241900,243700,245100,245900,247200,249000,251000,252600,253700,254200,254100,253000,254000,256100,257400,257600
275473,"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,78700,78800,78900,79000,79200,79400,79600,79700,79800,79900,80000,80100,80200,80400,80600,81000,81300,81700,82100,82400,82700,83000,83300,83600,83900,84200,84600,85100,85700,86300,86800,87400,87900,88300,88700,89100,89400,89900,90400,91000,91600,92200,92800,93200,93500,93800,94000,94100,94300,94500,94800,95100,95500,95900,96300,96600,96800,96800,96900,96900,96900,97000,97300,97600,98000,98500,98900,99100,99300,99400,99400,99400,99500,99700,100100,100600,101300,102100,102700,103500,104500,105600,106600,107700,108900,109900,110700,111200,111400,111300,111000,110800,110900,111400,112500,113800,114900,115700,116100,116200,116200,116300,117000,118500,120400,122100,123200,123900,124100,123700,123000,122300,122000,122100,122500,122800,123000,123300,123700,124500,125600,127000,128600,130300,131600,132100,132200,131900,131300,130700,130400,130700,131400,132500,133600,134400,134700,134300,133600,132600,131300,129800,128100,126200,124100,121800,119300,117600,116800,116300,115800,115400,115000,114600,114200,113800,113500,113100,112300,111400,110600,109900,109800,110100,110500,110900,111500,111200,110700,110700,110500,108200,106600,107000,107400,106400,105100,103700,102400,101600,100900,100200,101100,103100,104100,103800,103200,102900,102700,102800,102900,102500,101900,101100,101100,100900,100500,100600,101200,102200,103800,105600,105700,105700,104400,103100,102300,102600,101900,100500,98900,98100,98100,98000,98000,98200,100400,102700,103800,105200,108900,111800,113200,114300,115000,115400,117000,119400,120800,121700,122300,122300,122100,122200,122900,124000,124500,124500,124700,125300,126900,128700,129900,131300,133200,134900,136500,138500,140000,141700,143700,145500,147400,150700,153200,154400,155300,156400,157800,158900,159800,161500,165600,170400,173200,174500,176600,179000,180800,183000,186500,189700
