"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-11-30,274772,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,323000,0.00905966885348329,0.0182849936948298,0.0720212412877531,,,"2018-11","2018-Q4",323000,0,"2018-11"
2018-11-30,192689,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",1,259500,0.00933488914819136,0.0342766042247908,0.158482142857143,,,"2006-07","2006-Q3",299100,-0.132397191574724,"2005-01"
2018-11-30,270958,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",2,1350400,-0.00640129497461555,-0.0206686489230546,-0.0672744854261638,,,"2017-07","2017-Q3",1475200,-0.0845986984815618,"2015-08"
2018-11-30,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,473600,0.00338983050847458,0.0121820901902116,0.0847457627118644,,,"2018-11","2018-Q4",473600,0,"2018-11"
2018-11-30,270957,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,1313000,-0.00980392156862745,-0.0319964612208788,-0.0273353581746796,,,"2017-06","2017-Q2",1397200,-0.0602633839106785,"2015-09"
2018-11-30,192820,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,219300,0.012933025404157,0.0497845859262805,0.194444444444444,,,"2006-09","2006-Q3",259400,-0.154587509637625,"2005-05"
2018-11-30,192796,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,276100,0.00656215822092599,0.0294556301267711,0.138087386644683,,,"2006-06","2006-Q2",315400,-0.124603677869372,"2004-12"
2018-11-30,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",7,380600,0.00661200740544829,0.0267062314540059,0.0883614526737203,,,"2007-04","2007-Q2",400400,-0.0494505494505494,"2006-07"
2018-11-30,194430,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",8,440800,0.0114731528223956,0.04405495026054,0.0965174129353234,,,"2018-11","2018-Q4",440800,0,"2018-11"
2018-11-30,112547,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",9,336400,0.00447894893998208,0.0108173076923077,0.0635472652545052,,,"2006-05","2006-Q2",363600,-0.0748074807480748,"2005-11"
2018-11-30,198687,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",10,671600,0.011902968208528,0.0561409026576506,0.0802637928261219,,,"2018-11","2018-Q4",671600,0,"2018-11"
2018-11-30,111818,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,249600,0.00483091787439614,0.0196078431372549,0.0598726114649682,,,"2006-05","2006-Q2",268000,-0.0686567164179104,"2005-11"
2018-11-30,267955,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",12,217400,0.00881670533642691,0.0362249761677788,0.112020460358056,,,"2006-06","2006-Q2",223300,-0.0264218540080609,"2006-02"
2018-11-30,272816,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",13,840400,0.0146082337317397,0.0459240821406347,0.079789284337659,,,"2018-11","2018-Q4",840400,0,"2018-11"
2018-11-30,273698,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",14,385100,0.00627123072903057,0.0128879537085744,0.067350332594235,,,"2018-11","2018-Q4",385100,0,"2018-11"
2018-11-30,272902,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",15,838100,0.00191273161984459,0.013299480111232,0.0926988265971317,,,"2018-11","2018-Q4",838100,0,"2018-11"
2018-11-30,199001,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",16,899600,0.00301036904894637,0.0103324348607367,0.0182229767968308,,,"2018-11","2018-Q4",899600,0,"2018-11"
2018-11-30,32059,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",17,868400,0.00555812876331635,0.0220077674473344,0.118207571465362,,,"2018-11","2018-Q4",868400,0,"2018-11"
2018-11-30,267908,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",18,333000,0.00573844759891272,0.0174152153987168,0.0801167693804736,,,"2018-11","2018-Q4",333000,0,"2018-11"
2018-11-30,273566,"East Side","TX","El Paso","El Paso County","El Paso",19,131500,0.00076103500761035,0.0146604938271605,0.0494812450119713,,,"2007-11","2007-Q4",137100,-0.0408460977388767,"2007-05"
2018-11-30,194737,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",20,1061200,-0.0152190051967335,0.0138530620043948,0.180422691879867,,,"2018-10","2018-Q4",1077600,-0.0152190051967335,"2018-09"
2018-11-30,275473,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",21,126400,0.0136327185244587,0.0318367346938776,0.16390423572744,,,"2018-11","2018-Q4",126400,0,"2018-11"
2018-11-30,272734,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",22,186100,0.010314875135722,0.0333148250971682,0.0585893060295791,,,"2007-06","2007-Q2",204500,-0.0899755501222494,"2005-12"
2018-11-30,403222,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",23,985400,-0.00162107396149949,-0.00484750555443345,-0.00343851132686084,,,"2017-04","2017-Q2",1007700,-0.0221296020641064,"2016-11"
2018-11-30,25294,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",24,453400,0.00420819490586932,0.017961383026493,0.140915953699044,,,"2018-11","2018-Q4",453400,0,"2018-11"
2018-11-30,35521,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",25,302600,0.00833055648117294,0.0296019054100034,0.127841967946329,,,"2006-06","2006-Q2",359100,-0.157337788916736,"2004-11"
2018-11-30,343222,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx County","New York",26,432300,0.00698812019566737,0.0222274769449042,0.107893388006151,,,"2018-11","2018-Q4",432300,0,"2018-11"
2018-11-30,270828,"East Harlem","NY","New York-Newark-Jersey City","New York County","New York",27,831000,-0.00108186080057699,0.00459381044487427,-0.000841649633281231,,,"2018-05","2018-Q2",835600,-0.00550502632838679,"2018-03"
2018-11-30,274742,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",28,562900,0.00499910730226745,0.0138688760806916,0.0478406552494415,,,"2006-03","2006-Q1",667000,-0.156071964017991,"2005-06"
