"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,1849,0.0142622051563357,0.0204194260485651,-0.0196182396606575,52251
2018-11-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1,1160,0.011333914559721,0.0157618213660245,0.0516772438803264,47687
2018-11-30,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",2,3903,0.0209259743656814,0.027375625164517,-0.0633549316054716,39067
2018-11-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,2526,0.00838323353293413,0.0181378476420798,0.0310204081632653,22323
2018-11-30,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,3861,0.00573065902578797,0.0102040816326531,-0.045016077170418,39468
2018-11-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,1203,0.00753768844221105,0.0100755667506297,0.032618025751073,40751
2018-11-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,1313,0.0123361603700848,0.0162538699690402,0.0202020202020202,61719
2018-11-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",7,2430,0.0116569525395504,0.0287891617273497,0.0257492612916843,13669
2018-11-30,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",8,2209,0.00637813211845102,0.00591985428051002,-0.0217006200177148,5601
2018-11-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",9,1651,0.00916870415647922,0.00978593272171254,0.0116421568627451,57869
2018-11-30,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",10,2692,0.015465861938891,0.013172751223184,-0.0796581196581197,4265
2018-11-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,1372,0.014792899408284,0.0178041543026706,0.0178041543026706,51392
2018-11-30,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",12,2287,0.00263042525208242,0.00087527352297593,-0.0163440860215054,5131
2018-11-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",13,2286,0.00527704485488127,0.00927152317880795,-0.0159276797244942,28901
2018-11-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",14,2656,0.0149025601834161,0.0172347759479127,-0.0473457675753228,3566
2018-11-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",15,2956,0.0013550135501355,-0.00135135135135135,-0.0485999356292243,8629
2018-11-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",16,3122,0.0100291167906826,0.0146246343841404,-0.003511011809767,5515
2018-11-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",17,1532,0.0105540897097625,0.0132275132275132,0.0254350736278447,43546
2018-11-30,"East Side","TX","El Paso","El Paso County","El Paso",18,1018,0.0129353233830846,0.0159680638722555,-0.0211538461538462,36839
2018-11-30,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",19,2288,0.0114942528735632,0.00837373292199207,-0.0474604496253122,4448
2018-11-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",20,1231,0.00984413453650533,0.0123355263157895,0.0327181208053691,29711
2018-11-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",21,1226,0.0165837479270315,0.0216666666666667,0.035472972972973,32037
2018-11-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",22,2485,0.0052588996763754,0.00404040404040404,-0.0434949961508853,2853
2018-11-30,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",23,2173,0.0197090567808541,0.0230696798493409,-0.0286097451944569,9789
2018-11-30,"Harlem","NY","New York-Newark-Jersey City","New York County","New York",24,3128,0.0178978197201432,0.0212210251387529,-0.0416666666666667,5844
2018-11-30,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx County","New York",25,1847,0.00435019032082654,0.00489662676822633,-0.0258438818565401,2668
2018-11-30,"East Harlem","NY","New York-Newark-Jersey City","New York County","New York",26,3095,0.0184271141822968,0.019433465085639,-0.0558267236119585,3013
2018-11-30,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",27,2668,0.00755287009063444,0.00489642184557439,0.0156071564522269,57418
2018-11-30,"Roosevelt","CA","Fresno","Fresno County","Fresno",28,1217,0.010797342192691,0.0150125104253545,0.0201173512154233,24706
2018-11-30,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",29,1232,0.0173410404624277,0.0232558139534884,0.0301003344481605,30197
2018-11-30,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",30,3332,0.00180396873120866,0.00452215857702743,0.029984544049459,19729
2018-11-30,"Bushwick","NY","New York-Newark-Jersey City","Kings County","New York",31,2377,0.0136460554371002,0.0162462590850791,-0.0392077607113985,896
2018-11-30,"East Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",32,2245,0.0140018066847335,0.0140018066847335,-0.0310746655157531,5527
2018-11-30,"South Side","TX","Corpus Christi","Nueces County","Corpus Christi",33,1539,0.00260586319218241,0.00325945241199478,0.00130123617436565,28688
2018-11-30,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",34,1350,0.00371747211895911,0.00521221146686523,0.0273972602739726,21330
2018-11-30,"Corona","NY","New York-Newark-Jersey City","Queens County","New York",35,2211,0.00272108843537415,0.00545702592087312,0.0307692307692308,2597
2018-11-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby County","Memphis",36,968,0.0125523012552301,0.0189473684210526,0.0104384133611691,38951
2018-11-30,"Sunset Park","NY","New York-Newark-Jersey City","Kings County","New York",37,2213,0.00682438580527752,0.00636653024101864,-0.0281071585419412,1661
2018-11-30,"Bullard","CA","Fresno","Fresno County","Fresno",38,1505,0.00736278447121821,0.00938967136150235,0.0301163586584531,29402
2018-11-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",39,1405,0.0078909612625538,0.0100647016534867,0.018854242204496,20937
2018-11-30,"Borough Park","NY","New York-Newark-Jersey City","Kings County","New York",40,2301,0.00832602979842244,0.00568181818181818,-0.0714285714285714,3222
2018-11-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings County","New York",41,2192,0.00274473924977127,0.000456412596987677,-0.0983134512546277,3512
2018-11-30,"Central City","TX","Corpus Christi","Nueces County","Corpus Christi",42,1113,-0.00625,-0.00713648528099911,0.0239190432382705,26532
2018-11-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",43,3765,0.00480384307445957,0.00641539695268645,-0.0021203286509409,19920
2018-11-30,"Northeast","TX","El Paso","El Paso County","El Paso",44,900,0.00558659217877095,0.00783874580067189,0.00111234705228031,24184
2018-11-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",45,2212,0.00271985494106981,0.00591177808094588,0.0302748020493712,5955
2018-11-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",46,1364,0.00887573964497041,0.011119347664937,0.0194319880418535,16088
