"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,1296,0.0062111801242236,0.00699300699300699,0.0132916340891321,10927
2018-11-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1,1007,0,0.00099403578528827,0.0588853838065194,4737
2018-11-30,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",2,1054,0.014436958614052,0.014436958614052,0.0635721493440969,21964
2018-11-30,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",3,3710,0.0200714874896893,0.0251450676982592,-0.0423335054207537,67705
2018-11-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",4,2328,0.0108554059921841,0.0237467018469657,0.020604997807979,10726
2018-11-30,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",5,3455,0.00436046511627907,0.00611531741409435,-0.0159498718313871,78367
2018-11-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,874,0.0210280373831776,0.0294464075382803,0.0417163289630512,7463
2018-11-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",7,998,0.0142276422764228,0.0194075587334014,0.0605738575982997,22356
2018-11-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",8,2302,0.0118681318681319,0.0309001343484102,0.0290567724631203,10441
2018-11-30,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",9,2192,0.0087436723423838,0.0101382488479263,-0.0152740341419587,15613
2018-11-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",10,1248,0.012987012987013,0.0162866449511401,0.0263157894736842,11291
2018-11-30,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",11,2494,0.0121753246753247,0.0121753246753247,-0.0599321522804372,14090
2018-11-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",12,1156,0.0104895104895105,0.0131463628396144,0.0176056338028169,5250
2018-11-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",13,1155,0.010498687664042,0.0131578947368421,0.0294117647058823,10871
2018-11-30,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",14,2236,0.0017921146953405,0.00224114746750336,-0.0192982456140351,23777
2018-11-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",15,1369,0.00735835172921266,0.00440205429200293,0.000730994152046784,8906
2018-11-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",16,2423,0.0146566164154104,0.0163590604026846,-0.0468135326514555,24309
2018-11-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",17,2757,0.00841258229700073,0.00804387568555759,-0.0632008154943935,22839
2018-11-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",18,2677,0.0140151515151515,0.0143993937097385,-0.0398134863701578,8548
2018-11-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",19,1232,0.0165016501650165,0.0207125103562552,0.0275229357798165,19990
2018-11-30,"East Side","TX","El Paso","El Paso County","El Paso",20,862,0.0105509964830012,0.0153121319199058,-0.0114678899082569,2913
2018-11-30,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",21,2172,0.00509023600185099,0.0018450184501845,-0.0312221231043711,12438
2018-11-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",22,1098,0.0119815668202765,0.0185528756957328,0.0497131931166348,1183
2018-11-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",23,1121,0.0117328519855596,0.0172413793103448,0.056550424128181,9172
2018-11-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",24,2367,0.00852151682999574,0.0098122866894198,-0.0322976287816844,14652
2018-11-30,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",25,2156,0.0174610665408211,0.0208333333333333,0.00889096864763687,10918
2018-11-30,"Harlem","NY","New York-Newark-Jersey City","New York County","New York",26,2836,0.007818052594172,0.00817632420902951,-0.0609271523178808,15112
