"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,1995,0.010126582278481,0.0152671755725191,-0.00200100050025012,46123
2018-11-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1,1167,0.0130208333333333,0.01743679163034,0.0494604316546763,44419
2018-11-30,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",2,3951,0.0241057542768274,0.0364637985309549,-0.0139755428000998,3346
2018-11-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",3,2527,0.009185303514377,0.0181305398871878,0.0314285714285714,23844
2018-11-30,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,3854,-0.00103680663556247,0.00705513457015939,0.009958071278826,4239
2018-11-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,1217,0.0116375727348296,0.0150125104253545,0.0226890756302521,36086
2018-11-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",6,2440,0.0107705053852527,0.0260723296888141,0.0269360269360269,15064
2018-11-30,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",7,2205,0.00501367365542388,0.00501367365542388,-0.0260600706713781,4623
2018-11-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",8,1754,0.0068886337543054,0.00804597701149425,0.00978698906160046,49210
2018-11-30,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",9,2752,0.00548045305078553,0.00474625775830595,-0.0718381112984823,778
2018-11-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",10,1392,0.0160583941605839,0.0175438596491228,0.0168005843681519,47797
2018-11-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,1303,0.0203602192638998,0.027602523659306,0.0140077821011673,38791
2018-11-30,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",12,2348,0.0155709342560554,0.020425901781834,-0.0080270384452894,2770
2018-11-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",13,2541,0.00753370340999207,0.0107398568019093,0.00157666535277887,22466
2018-11-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",14,2412,0.0211685012701101,0.0259464057847724,-0.0589153335934452,2011
2018-11-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",15,2738,0.0118255728011826,0.0144497962208225,-0.0830542531815137,1024
2018-11-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",16,3282,0.0183059261557555,0.0307788944723618,-0.0243757431629013,3280
2018-11-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",17,1897,0.00211304807184363,0.0106553010122536,0.0486456605859591,28134
2018-11-30,"East Side","TX","El Paso","El Paso County","El Paso",18,1017,0.0139581256231306,0.018018018018018,-0.0221153846153846,36828
2018-11-30,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",19,2338,0.010371650821089,0.00819318671841311,-0.0842146494320407,2579
2018-11-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",20,1236,0.00897959183673469,0.0114566284779051,0.0351758793969849,29465
2018-11-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",21,1251,0.0145985401459854,0.0187296416938111,0.0433694745621351,25211
2018-11-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",22,2452,0.00905349794238683,0.00905349794238683,-0.0444271239282931,1773
2018-11-30,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",23,2160,0.0232117479867361,0.027592768791627,-0.0296495956873315,11546
2018-11-30,"Harlem","NY","New York-Newark-Jersey City","New York County","New York",24,3213,0.00657894736842105,0.0129255989911728,-0.0180317848410758,1343
2018-11-30,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",25,1449,0.00905292479108635,0.0118715083798883,0.0387096774193548,44428
2018-11-30,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx County","New York",26,1859,0.00595238095238095,0.00704225352112676,-0.0220936349289847,2943
2018-11-30,"East Harlem","NY","New York-Newark-Jersey City","New York County","New York",27,2925,0.00827300930713547,0.00896860986547085,-0.0543161978661494,662
2018-11-30,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",28,3194,0.00535096002518099,0.00377121307353866,0.00440251572327044,41320
2018-11-30,"Roosevelt","CA","Fresno","Fresno County","Fresno",29,1225,0.00823045267489712,0.0115606936416185,0.0225375626043406,24135
2018-11-30,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",30,1239,0.0164068908941756,0.021434460016488,0.0342237061769616,28406
2018-11-30,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",31,3356,0.00328849028400598,0.00479041916167665,0.0322977545370655,18025
2018-11-30,"Bushwick","NY","New York-Newark-Jersey City","Kings County","New York",32,2379,0.014498933901919,0.0166666666666667,-0.063754427390791,990
2018-11-30,"East Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",33,2240,0.0154125113327289,0.0163339382940109,-0.0328151986183074,5302
2018-11-30,"South Side","TX","Corpus Christi","Nueces County","Corpus Christi",34,1546,0.00259403372243839,0.00454840805717999,0.00259403372243839,28106
2018-11-30,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",35,1361,0.00665680473372781,0.00889547813194959,0.0171898355754858,19126
2018-11-30,"Corona","NY","New York-Newark-Jersey City","Queens County","New York",36,2299,0.0177069499778663,0.0172566371681416,-0.045265780730897,1066
2018-11-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby County","Memphis",37,925,0.00652883569096844,0.012035010940919,0.0187224669603524,36325
2018-11-30,"Sunset Park","NY","New York-Newark-Jersey City","Kings County","New York",38,2338,0.00343347639484979,0.00257289879931389,-0.0700079554494829,394
2018-11-30,"Bullard","CA","Fresno","Fresno County","Fresno",39,1513,0.0100133511348465,0.0127175368139224,0.0154362416107383,26876
2018-11-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",40,1407,0.00860215053763441,0.0115025161754134,0.0180897250361794,20936
2018-11-30,"Borough Park","NY","New York-Newark-Jersey City","Kings County","New York",41,2242,0.00809352517985612,0.00673551863493489,-0.11067036890123,918
2018-11-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings County","New York",42,2179,0.00229990800367985,-0.00137488542621448,-0.122078968573731,2005
2018-11-30,"Central City","TX","Corpus Christi","Nueces County","Corpus Christi",43,1108,-0.0062780269058296,-0.00894454382826476,0.0306976744186047,25804
2018-11-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",44,3839,0.0060272536687631,0.00761154855643045,-0.00595546349041947,16264
2018-11-30,"Northeast","TX","El Paso","El Paso County","El Paso",45,901,0.00670391061452514,0.00895856662933931,0.00111111111111111,24685
2018-11-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",46,2359,0.0207702293379489,0.0265448215839861,-0.0383204239706482,1761
2018-11-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",47,1364,0.00887573964497041,0.011119347664937,0.0194319880418535,16248
2018-11-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",48,3595,0.0123908758096311,0.0375180375180375,0.0098314606741573,795
2018-11-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",49,2909,0.00692281066112842,0.0139421401185082,0.00206682741991044,1066
2018-11-30,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",50,1821,0.0116666666666667,0.0150501672240803,0.00719026548672566,19577
2018-11-30,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",51,3465,0.00260416666666667,0.00376593279258401,0.00668216153399187,13053
2018-11-30,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",52,2369,0.0106655290102389,0.0149957155098543,0.0176116838487973,11266
2018-11-30,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings County","New York",53,2235,0.0136054421768707,0.012686905301314,-0.0881272949816402,4512
2018-11-30,"South Bronx","NY","New York-Newark-Jersey City","Bronx County","New York",54,1955,0.0103359173126615,0.0145303580695381,0.0322069693769799,728
2018-11-30,"Soundview","NY","New York-Newark-Jersey City","Bronx County","New York",55,1913,0.0089662447257384,0.0116340560549974,0.0464989059080963,579
2018-11-30,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",56,3705,0.000810372771474879,0.00216391668920747,-0.00510204081632653,15732
2018-11-30,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",57,1557,0.00776699029126214,0.0103828682673589,0.00322164948453608,25092
