RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83800,83e3,83700,78e3,77900,82400,88100,86200,87900,88200,90400,80500,78800,86800,94400,95300,89700,87900,91400,91100,91500,90700,92600,97100,96600,96500,99900,101e3,104100,103200,104200,103700,106300,105300,107300,106500,112e3,116400,113800,118700,113100,116600,115900,126200,129900,132400,125900,120400,117200,131200,140500,142400,132300,128700,132600,138400,147600,160200,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,47700,49500,51100,50400,51100,51e3,49500,48600,49400,50500,49600,45800,44500,41800,40700,38500,39700,39400,39300,38200,38800,39500,40200,40900,42400,43700,44e3,44e3,44800,46e3,47700,49300,53200,55800,58100,59400,62900,64700,64800,64100,65500,68700,7e4,71100,71800,74600,76900,81700,85900,88800,89400,88400,89600,87600,88200,90300,93900,96500,98600,100300,100900,99500,100100,101700,101800,102e3,103800,106400,111500,112600,114900,114200,114800,114900,111800,115500,118600,124100,125300,126700,129300,128800,129500,130100,134400,137500,138500,137300,138300,141800,145200,147e3,147900,148800,149800,150800,153100,155100,152900,153700,156500,160800,162400,161400,164900,166300,169600,169300,174200,174100,174900
118208,South Los Angeles,California,3,,,,,,268400,257900,252e3,243300,230300,221100,213200,213100,197200,185e3,175300,179500,182200,181200,176700,184700,191800,195800,195300,192100,194500,200600,208300,200600,195100,198600,208e3,206500,197900,203e3,213800,218e3,207900,201e3,196100,200600,192700,192800,191900,191200,191500,189700,195400,198100,200100,201300,199700,197100,198800,197100,202e3,207700,215900,223100,219600,221600,227100,234e3,237400,236500,234600,245e3,249700,266e3,270600,275500,278200,278200,279800,279500,282700,279100,278300,282900,290100,295600,293900,296900,295300,300100,313900,317400,312800,302500,298400,305300,311600,320400,322200,322400,331200,336600,342e3,340800,345900,348500,354400,353100,356e3,355700,361400,365300,368300,369600,372200,374200,381600,384900,390300,387800,389800,392700,406100,419500,433300,435800,436100,437600,436600,434e3,428800,423700,431800,431400
192820,Sunrise Manor,Nevada,4,,,,,,,,,,,,,,,,,,,64100,65900,65200,66800,67300,69400,7e4,69600,68100,69100,69e3,69200,65900,63200,62900,61500,62900,61900,63400,60700,6e4,61300,60800,61500,58600,58900,58300,56e3,56100,55400,57200,56e3,56500,61900,64500,66700,63100,67300,67800,71500,71500,74100,73400,69600,68800,73200,79200,82900,83700,85700,87300,88300,91e3,92500,94800,94800,96300,91300,91900,95200,101600,103100,101600,99500,96400,97400,101200,104500,104900,104300,105300,105400,109500,114600,118e3,118200,117200,117e3,116700,118e3,119600,121100,122700,122200,121600,119100,120300,125300,125700,128200,129400,135100,138400,147e3,149200,151200,144e3,144600,139700,142800,146900,154900,160100,161e3,162500,170300,172400,176700,170100,,
192796,Spring Valley,Nevada,5,172400,171100,166400,158800,15e4,147700,147e3,142700,134400,127500,124300,118200,107400,93800,84500,80600,76600,74500,70300,70400,70100,69400,7e4,68300,70100,71100,69300,68400,64800,67600,66500,65300,64300,63300,64100,61600,61600,60100,59600,57800,57300,55700,55200,55300,57800,58400,58800,58800,59800,6e4,59600,60600,61500,63100,63e3,65200,67400,69900,69400,70500,72200,73700,74700,76500,78500,80700,81600,85100,86600,88100,89600,88100,89500,85900,86100,78500,81900,82800,90300,88600,90100,89500,92700,90500,90600,90700,94700,90700,90600,90400,96300,95700,93100,92800,91200,96200,97600,102700,101100,99300,97400,97700,99200,101700,104100,108e3,109600,111900,110300,113e3,115300,122100,124e3,126300,128300,130500,134500,134300,138200,139400,142600,145500,147200,150700,147700,150200,149400,,
268496,Southeast Los Angeles,California,6,,,,,,232700,220200,210600,199300,196e3,192500,169500,151100,139700,143800,139700,132300,128500,129400,133600,139500,145100,153700,148200,146400,139500,141700,148100,147100,154300,159900,171300,171900,165e3,156900,152500,157700,166400,169600,169100,168700,170400,165100,165500,161600,161700,153800,149700,150300,158600,166100,174e3,168700,180700,173400,184500,183200,190500,186900,173900,179800,183900,195900,196700,196900,213e3,224400,228e3,216300,214600,218e3,222100,217200,220300,222500,231200,235700,242400,242600,243e3,251600,250500,253400,242300,249100,254800,264800,272200,271400,269e3,272200,276400,284300,283600,284e3,284400,287400,288500,289300,292e3,299e3,302700,304700,305700,309400,311300,316300,322400,327300,324400,324700,319500,323800,324900,331800,335500,342e3,345400,343600,334200,338100,343500,35e4,349200,351800,364700,370800,384800,380800
267955,North Mountain,Arizona,7,,,,,,,,,,,,,,,,,,,63200,64500,70500,67600,70200,64500,65300,63100,63400,65800,64600,64100,60600,59200,59600,56500,56200,50800,52200,50600,52300,51600,52500,53800,53800,54400,56300,57500,58600,54900,54600,54600,57e3,60200,61600,64200,62900,66900,71200,75500,76900,77900,77800,78300,77400,83900,89100,93500,92900,92700,97300,98200,96600,95100,95400,96600,95600,94300,94800,93300,93100,87700,90800,95100,103800,101900,104800,108600,113100,113e3,112500,114500,115900,116400,114700,113400,116800,118600,120300,118400,122800,126700,127600,130300,131700,131800,131800,134100,133200,135600,136600,140500,139700,136700,135800,134e3,136800,139e3,148500,148500,154700,149400,155100,155e3,156900,157100,159700,160500,,,
273566,East Side,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82200,82800,84200,83400,83900,82e3,81300,82100,85500,85400,82600,80700,83900,85900,82100,79500,81500,88900,91500,92900,91200,86100,86600,86800,90400,89200,88700,91400,90200,91400,9e4,87800,84900
272734,Alhambra,Arizona,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57700,6e4,62900,65300,67900,65900,66900,68300,72700,74500,74400,77900,80900,83400,84100,83300,83800,82600,83600,82100,84700,88300,91e3,91200,94600,103300,105700,100100,91500,93300,98e3,102700,102500,96500,100700,102400,109500,107100,94900,97800,101100,118600,117e3,117500,119700,119800,124200,120900,123100,122200,122400,126e3,128300,130700,131400,133500,135e3,135400,130900,133900,134300,138600,139900,143400,143700,144700,146500,148300,150100,150900,151400,149600,155800,
35521,Enterprise,Nevada,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131400,132200,133900,136600,136e3,137200,135400,134200,138500,135700,138600,134600,140500,138500,138800,138600,142300,146900,155400,162100,164e3,157400,155e3,149300,153800,153300,158400,157700,155500,154800,162600,171800,183400,175300,,
