RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184800,186300,183700,179800,180300,176e3,177100,168400,174300,175700,186800,185100,179300,178100,179300,185900,187300,188800,189300,187600,186900,188500,192500,195900,195800,196300,201100,203400,206900,212300,210100,212500,210200,215500,215100,215200,227300,225800,228400,227900,235400,235e3,231300,233800,237400,240200,233100,236800,239900,255800,255200,260100,260300,264200,259600,262600,262800,264800,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,146700,138e3,133300,137200,137100,140800,138600,139800,137400,131200,129500,129800,129500,123700,121700,126700,125700,124800,117300,122100,116100,118600,113e3,111900,108100,106400,111500,113800,117700,117e3,118500,121300,120900,131100,132200,135600,126600,126400,13e4,131e3,134700,135700,140400,142900,145700,150800,155900,158900,162500,164800,169200,171300,173700,169800,169800,166900,171600,166500,167800,164200,166600,165800,168100,172100,170400,172300,169100,174700,175300,179500,177400,179900,180700,184600,184300,183700,184100,186e3,191400,192500,191700,194900,196300,201700,196700,197200,194600,194900,197900,202400,206800,208400,208500,207900,208100,207900,212100,213600,215800,216900,218400,222e3,222800,227e3,224500,223e3,223700,226700,229600,230200,234600
192689,Paradise,Nevada,3,263100,255500,252100,245600,242300,238100,231500,226600,219600,211200,203e3,195200,190800,182600,178300,172300,168600,161700,154500,147400,144200,143500,148300,144900,141200,134900,136500,137600,138200,135100,135e3,133500,134200,134500,135500,133100,130900,128500,129500,128800,127400,125100,123300,122500,124500,123800,125400,122900,126e3,127900,128700,128400,128100,126700,125800,125600,130500,134600,138700,139100,142800,144600,149900,149500,154100,155700,159400,160400,162400,165300,168900,170700,171100,170300,171400,173300,174500,175300,175600,176900,178600,181200,181600,185e3,185600,189800,190800,191e3,190300,190500,193100,194300,198100,198300,201300,202700,201e3,199900,197200,203400,206100,208900,208e3,211700,212200,213400,211e3,212500,215700,220100,223300,226500,226200,229800,232300,234600,236800,240600,247300,248300,249200,250900,256100,260300,261500,263e3,264100,,
270958,Upper West Side,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400600,397500,375300,370800,381700,400800,401600,410200,402400,396200,371600,371700,382600,380500,37e4,361700,378500,376200,367400,363600,367400,392e3,383600,382100,361400,367700,379200,391e3,391200,378100,377600,370600,376700,379300,383e3,403300,399600,407900,388600,393300,388700,399600,393600,404900,408800,413500,406200,405400,416300,419400,405500,399700,401300,417800,423600,415400,397e3,398200,409500,418500,415400,409700,426700,422e3,432600,421100,421e3,437400,441300,443300,427300,419600,415400,415600,422300,432600,432100,433500,441100,451200,458400,454300,453400,469600,47e4,473e3,463300,482400,487400,483100,464e3,473e3,478300,495900,491900,504400
118208,South Los Angeles,California,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523800,542300,537500,543300,542700,539400,537700,543300,544200,574200,569200,581700,564200,570800,580800,591700,616600,608300,613300,599200,602500,612300,623800,632200,652300
192820,Sunrise Manor,Nevada,6,,,,,,,,,,,,,,,,,,,146400,139700,132500,132600,129400,128600,125800,127100,127700,129100,127200,126800,124e3,122600,122800,123e3,123500,122500,123700,123100,121900,118800,118800,119200,118900,118900,117600,115800,113e3,112100,116800,117600,118700,115400,115700,114800,116e3,119600,120200,122100,125500,128600,129500,128200,132200,136700,142e3,143900,145700,145500,148200,152800,155600,157100,157500,155600,155400,153300,155100,162300,165800,169300,164900,166300,166200,169e3,168600,173400,174400,177e3,177600,179900,181100,180800,178100,177800,177800,180700,183200,184500,183800,185400,184500,186300,186800,191300,195e3,196800,198e3,197900,202600,206400,210200,211600,212900,214e3,215800,216200,221300,220700,225300,225800,234100,236400,239700,238600,239900,241600,244200,,
192796,Spring Valley,Nevada,7,261900,254500,253900,244800,241100,234100,228400,222800,214300,211300,204200,201e3,194500,187400,181500,174e3,169100,162500,157800,155800,153800,153400,150500,147e3,147500,147700,148900,149500,145900,143300,138400,138900,138200,138300,137200,135900,137100,133900,133600,131100,131500,130800,128700,128400,127800,127400,126300,125600,128700,129300,131100,130900,133200,134300,134300,136400,137300,141100,141200,142600,147600,150600,154800,152600,157500,159400,160900,160200,162600,166600,168600,169500,174900,175600,180300,177700,180700,180600,182800,184900,185400,187200,190200,197e3,197900,201500,196900,198600,196300,198e3,2e5,196e3,198e3,196600,206300,210200,211300,211200,210400,212e3,212600,211800,215400,217400,221700,222500,222500,224e3,229200,231700,232400,232400,235200,240400,240900,243800,244600,248600,253200,257800,265600,267100,268900,266500,267400,270200,269700,,
112547,Paradise Valley,Arizona,8,254700,249500,249300,241700,236100,230100,230200,228100,228200,220400,213700,203300,198700,188900,183200,180500,179500,178e3,171100,170800,165100,166800,165100,165500,161600,159300,158300,162300,161500,161600,154e3,151400,148600,148e3,148600,148700,15e4,149100,144400,143700,141e3,138900,135700,136e3,139300,140100,141700,141400,146200,145700,148500,148100,150100,155e3,159600,165400,167600,168600,168100,169700,169400,172300,178800,185800,190300,194100,196100,201100,202100,205e3,206e3,205700,207900,209700,208600,208300,208100,210100,211900,211900,211900,208500,213100,216800,221200,221e3,221300,221100,221e3,221900,223800,225100,226400,228800,231700,233200,234100,234200,237100,237700,239600,240800,244200,243500,243700,245200,245e3,241300,242600,246400,252e3,252500,254200,255e3,253400,256e3,260200,262300,264900,265900,268800,267200,268e3,271200,276700,278500,,,
111818,Deer Valley,Arizona,9,230400,232e3,224500,224800,220900,219300,214300,210700,204900,201100,198100,192700,189800,186500,185700,180300,172100,165900,16e4,156400,152e3,152e3,151600,149500,147400,146500,147700,144100,143800,144900,147200,145400,142800,139600,138400,137100,138400,136100,134500,133100,133500,131200,129400,127500,129800,129600,129700,129600,130400,133400,135e3,139400,141700,143500,145300,149600,155e3,154400,152700,154e3,159600,165100,167e3,168700,172200,174200,177200,177400,181700,182600,186700,187300,189900,187e3,189200,187700,193e3,194400,194500,194300,192300,197900,198800,200900,2e5,200300,202e3,203700,204e3,199500,2e5,204500,210300,213400,211400,212900,213200,217100,218900,221400,222800,224500,225e3,226100,227700,227200,228800,229800,232900,234e3,232900,233600,232700,234300,235300,240700,244900,245100,241800,240300,242700,250200,252600,254e3,250400,249100,,,
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,154700,138400,136600,139e3,146300,143600,140600,141200,143300,143200,139100,145400,141100,132700,126300,126200,131400,131200,132800,136600,133500,133200,130200,125900,121500,115900,119700,122e3,130600,129800,131100,129500,130500,133e3,136200,139400,138400,135e3,136600,138700,145700,144800,147300,149e3,153900,157100,159200,161700,166500,170400,171200,171700,169900,175600,178500,182900,182e3,180700,181200,182100,185600,187e3,190300,191700,194e3,191800,197800,199400,203800,201600,201300,201200,195600,186600,186900,193800,204800,209900,211100,214e3,210400,212100,215e3,22e4,221800,209500,211800,211800,229400,229900,231300,227100,227600,230600,233800,234e3,228900,220600,222400,226400,238200,241e3,242600,241900,246100,255200,258600,257600,251200,239500,241300
