RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300600,283e3,277900,280800,283100,279400,279100,280600,284100,288400,290500,292500,279200,283e3,282300,294700,298800,303500,309100,300200,301900,289400,295500,294800,307800,310600,309900,308100,318700,319200,323300,313700,315400,317800,342500,346600,337500,315200,325400,343e3,347800,345200,339100,345800,347300,356100,339200,337300,328100,331700,337300,340100,352400,354100,359100,354700,349e3,335600,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,48100,51100,56500,55800,55900,53800,52400,52200,50300,52700,51100,48200,45500,42900,42500,40400,42e3,42e3,42200,40600,39100,40200,40400,42e3,43200,45100,45800,45400,46500,47900,5e4,52100,58300,62500,64900,65500,68100,73800,73900,75200,82e3,85900,84600,77400,79700,84100,86200,95700,98100,103e3,96e3,96e3,94200,92500,94300,97100,99e3,100500,100800,104e3,103600,104e3,104100,111900,110200,112100,109600,114200,116300,118e3,12e4,121100,120400,119800,119100,122100,125600,135900,136500,137200,132800,134100,137500,137600,140700,142200,145500,146600,147500,150100,150600,152900,149400,151200,149700,153400,156100,160100,159900,159600,162700,166300,167500,167900,168100,171100,173400,175500,178300,178300,181200
192689,Paradise,Nevada,3,270800,286400,290700,258100,231700,214100,203300,191400,181900,168400,163600,148100,137600,128e3,124100,114900,115e3,113800,115700,113200,115e3,117700,117100,117e3,115700,116400,117e3,116500,117500,114700,112300,105200,105200,104400,105800,106300,104800,107800,101700,102800,98e3,101e3,98e3,100200,100500,100900,103e3,101400,106300,102600,106e3,106600,115200,113200,115500,112600,122600,126700,132300,133800,135200,139400,140600,142800,144100,145400,147700,147800,150600,153500,156200,156800,157100,155200,156300,148800,154600,165300,172800,172400,163900,167700,168800,169500,173200,175800,177e3,169800,169200,171600,18e4,181700,184200,181600,183e3,183e3,182500,182600,182700,185400,185600,187600,186900,191800,189600,192300,191500,195500,198700,198400,202500,205400,208e3,207900,210200,213500,217100,220600,226e3,229100,231e3,234100,239300,244700,245100,247400,245700,,
270958,Upper West Side,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985200,980300,923500,991600,1033200,1032700,923500,896900,905e3,936700,953100,955600,896100,788500,742600,751300,789400,779900,780300,849200,856800,900900,819200,884500,895800,948700,881800,856900,825e3,850200,821200,826700,852300,902900,938e3,911300,928900,917100,904100,868600,911100,954300,969100,936700,940800,895900,901100,887300,907700,886e3,915200,947800,944e3,91e4,957600,1047100,1063200,1087400,1115700,1386400,1404e3,1411200,116e4,1158700,1083600,1050800,1004300,987700,998600,1084900,1068600,1098900,983600,976600,1037200,1065e3,1169e3,1197600,1224500,1192e3,1117400,1090100,1060700,1134900,1217500,1259800,1161200,1075e3,1135700,1173100,1173100,1068400,1214900,1252600,1223500,1043100
118208,South Los Angeles,California,5,,,,,,283700,268200,262800,245e3,231200,219900,212100,212e3,194900,183700,175300,181600,186100,184e3,179300,184300,191500,197700,197600,193700,192200,199400,209700,204300,200600,201700,210600,205800,197900,203400,216100,219500,207100,199700,198400,204600,200400,198200,197900,194100,193300,191300,196200,200500,200600,202500,202800,202800,207600,205900,210300,212500,217700,223300,220200,223300,226500,233700,237500,241300,242800,251300,255800,266700,272e3,275400,278700,281200,285900,29e4,292700,289800,288400,290800,294100,298100,296300,299300,297e3,301100,312500,316300,314700,31e4,309700,315300,321e3,324700,328100,329800,341e3,344300,346600,345300,355600,363800,372800,367600,369100,365e3,371400,374400,381e3,386e3,388100,390600,408600,415700,428e3,418e3,422800,422800,438600,454400,461600,465400,457300,469400,477400,478600,481500,468700,476e3,476500
192820,Sunrise Manor,Nevada,6,,,,,,,,,,,,,,,,,,,72700,75800,77400,85600,88700,89100,83e3,82400,82200,82700,81e3,80800,78900,76100,75700,73e3,74700,72600,74200,72100,71100,70500,67200,66400,65600,67900,70300,67900,67900,65800,67700,67100,7e4,73600,77300,77200,8e4,81800,88e3,88500,92600,94700,98100,96600,94900,97800,102400,107500,109500,109600,114500,113700,116500,113100,117100,116100,116700,111500,113e3,115100,120200,124700,132300,134800,133800,128600,129200,132300,133500,133600,138e3,138500,140200,136600,138400,139200,159200,159200,160300,150900,153700,155100,147500,148400,149900,151300,152800,151400,154e3,157400,163400,165100,165400,166100,169300,170500,171e3,171700,177300,182200,187e3,188500,192800,191200,196400,205300,210700,208800,205500,,
192796,Spring Valley,Nevada,7,234200,228200,224700,223500,216700,215100,198e3,194300,185e3,184300,178400,172100,165300,150500,138e3,130700,129200,126400,121300,123500,125900,127600,127900,128200,132400,133400,132700,135400,128700,126600,117400,119200,118800,118900,117200,118100,116900,113200,113800,117e3,117500,111700,106600,108200,109800,11e4,109900,110200,118100,117600,121500,122300,128700,130900,127600,130400,133900,139400,143500,144800,152700,153500,155300,153500,156400,159800,161800,164e3,166300,166e3,167200,17e4,171200,173700,175e3,175700,172900,171e3,169500,179800,181100,189200,182800,186300,187700,190300,19e4,188700,188900,189300,189100,186800,188300,190500,194900,204500,224100,224400,217700,200500,206400,207e3,207900,207300,224300,225800,225400,211e3,214e3,216800,220800,224500,227400,233500,237100,240600,240300,244200,252300,257100,268400,270600,272500,265700,262600,261500,257600,,
268496,Southeast Los Angeles,California,8,,,,,,238300,219400,210600,201500,197500,192900,168600,150900,139800,143800,140100,132600,128400,128900,133100,140500,145600,154e3,148300,147e3,140300,142300,149200,148100,154100,16e4,171500,173900,165600,157200,151800,157300,167e3,171800,171900,173100,172400,166700,164900,162700,162300,154100,149200,150200,158900,166100,174600,17e4,182500,174900,185200,184600,191200,187300,173100,179400,185100,197100,198500,197500,212600,224200,227900,218400,215400,222600,225500,220900,220400,223300,232700,237100,242e3,241700,242e3,253400,251500,254e3,241200,249400,255700,265600,273900,273100,269800,273200,277200,293e3,290400,291200,284900,288400,289400,290700,293600,300500,303200,307200,309600,315700,315600,318700,322900,327500,325300,328800,325800,331600,331800,337600,340900,348800,349500,350100,336800,346400,351800,359500,361800,361700,377500,376600,395800,395400
112547,Paradise Valley,Arizona,9,280900,260200,261500,263100,260400,250800,247200,240100,259500,251300,246300,211500,188700,169e3,162e3,167400,171800,173200,171600,167500,172200,173900,183200,169600,162600,151300,157300,164200,167500,160500,150100,147600,146700,149600,153600,155500,145800,137800,129300,136400,137300,142100,141800,140600,147100,148800,148900,142200,140800,140700,142800,146500,149700,155300,150500,153300,157300,166900,170100,174e3,170400,170300,175800,192300,204600,201100,197400,197200,197400,196100,201800,189500,187900,178900,184900,186800,185100,192800,193900,194e3,192500,194900,199e3,210900,214900,218900,216400,218600,207300,207500,203900,216e3,221300,224600,236500,231e3,241800,233200,238200,231800,232100,235900,239100,241700,242700,244e3,248600,247200,246900,241800,241600,241400,246e3,249800,251300,252e3,257200,259e3,268200,264500,265100,261700,270200,276300,291500,298600,,,
111818,Deer Valley,Arizona,10,215100,208800,202200,197600,195400,187500,182300,178200,175900,167900,161500,155500,151e3,137600,130400,125700,127300,127200,131300,13e4,129200,127e3,129600,129400,129200,125500,125700,121600,120100,115900,118e3,118900,115600,107600,103100,104700,104700,102300,100300,99900,100400,100900,103700,105700,107100,109700,105e3,103600,101300,109200,113500,115200,114800,118100,120100,128200,128100,132300,132600,136100,137100,139100,142600,144100,146300,146700,149300,149800,150900,151500,152700,154800,156800,157400,154700,157400,163200,166e3,161800,155100,152900,155700,150400,154e3,155200,164e3,167600,170700,172500,171600,173100,176e3,180400,185400,186400,186400,184600,193400,197e3,199200,193400,194600,197200,200400,203100,202800,203600,205900,209500,209700,206700,205600,209200,213700,216700,217600,221900,222900,225200,221800,224600,229400,230600,233800,232700,238900,,,
