RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370300,364800,348700,351600,341400,328800,33e4,334600,346500,347300,345100,347400,356400,366200,373100,373800,369600,366400,372200,372900,380300,382400,374700,375400,373200,388800,383900,387700,392300,401600,404400,400500,400700,404400,410300,410500,411500,408300,409900,415300,415300,416700,414300,420700,417900,423800,408100,419400,413600,427600,419800,427e3,444500,456400,453200,448e3,444300,469500,
192689,Paradise,Nevada,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326200,326900,331300,331700,326100,317800,311200,312e3,328e3,331800,334900,339700,335900,333500,319200,326500,330300,332300,330300,332200,330700,335600,330700,342800,336300,344800,337800,344800,348100,352800,356800,354100,353700,349500,353100,362600,381900,391300,392400,383200,386900,383500,388200,391100,,
270958,Upper West Side,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166500,1179500,1068e3,1152700,1193900,1233600,1146600,1088400,1074900,1114100,1169200,1199600,1120100,1022700,966400,1006e3,1015300,987e3,965900,1062e3,1058500,1093800,954500,1080100,1073400,1209200,1101500,1132400,1065700,1104300,104e4,1012100,1009100,1052300,1098800,1070800,1087600,1044200,1052100,993600,1134100,1184500,1249300,1179300,1197500,1142100,1118300,1082200,1131300,1135400,1264100,1295e3,1322100,1178900,1198600,1262500,1330500,1325800,1300300,1591900,1603900,1646400,1361100,1368800,1280700,1247800,1200700,1206500,1191100,1316300,1327e3,1410400,1251100,1241100,1239500,1251300,1313900,1291300,1345800,1309600,1275900,1283800,1291100,1403e3,1427200,1440900,1370700,1282300,1351900,1343e3,1414900,1344e3,1495400,1476500,1414700,1260900
112547,Paradise Valley,Arizona,4,478300,429600,425900,406e3,395300,371900,354e3,353500,352900,358900,355900,344400,328100,314500,316200,31e4,312400,313e3,317700,306800,298100,298700,312900,314800,311300,296200,296e3,292e3,291200,288200,290900,292300,292100,297700,299e3,300400,291800,296700,285800,277900,262700,265700,265500,269900,279700,291600,295300,288300,286300,288600,292700,297100,301400,307800,311700,314300,313200,317800,317900,322900,317500,327300,334900,342200,345e3,355700,362200,367100,362300,362600,364300,373200,376e3,373700,363900,363600,363200,367900,363500,376100,366900,372e3,363100,381400,378400,382800,378900,382900,385400,390100,392e3,392600,428800,433200,436600,396400,422500,419600,421900,392800,392800,391e3,395600,395900,405100,401700,407100,400800,415100,412700,420200,409800,412500,404100,42e4,414200,421800,419400,435e3,436e3,436200,430900,435700,430100,439300,441700,,,
273698,Far North,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324e3,316800,332900,326400,33e4,326500,334400,331500,331900,327100,325300,328200,342100,348900,349800,356200,363600,368800,353700,363600,37e4,386800,379300,374e3,375e3,371800,380700,386e3,391500,375e3,377600,380900,396800,397600,404700,411900,406e3,406600,394700,397700,390100,403400,407400,412100,416100,420200,423e3,425900,429500,431900,429800,426600,428700,428100,434700,461200,471700,468e3,440300,440100,444300,461900,459e3,459400,465600,
273566,East Side,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204100,203900,194700,189400,184900,183900,186700,184200,176700,184400,203400,213700,221800,213700,208100,206e3,198200,190300,181500,190200,197400,196700,190600,192700,194400,211500,211400,205600,184600,173800,174500,176700,185800,184200,187300,186700,207e3,206900,207700,190600,190800,192400,192800,192400,195900,194800,193600,187200,186800,188200,190700,190300,19e4,186900,187700,190500,190700,189300,185100,188300,185100,183600,176900,181400,193400,197200,192100,177900,177800,181100,185700,198700,198200,214e3,209e3,208200,191600,180900,188600,186500,194500,192900,199100,205800,212500,217500,211700,202e3,195600,186e3
35521,Enterprise,Nevada,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375100,352100,364300,362800,378800,376e3,376300,352100,343e3,343200,347200,351900,351900,361700,358900,371700,372500,387e3,386300,390700,394400,391900,397200,401900,427900,426100,418500,400700,409400,425500,423100,432100,,
274742,North Scottsdale,Arizona,8,,,,,,,,,,,,,,,,,,,451100,444300,428200,444700,461100,503700,490300,474800,445200,456900,448200,443900,439300,437e3,433600,425300,436400,442700,433800,429300,437200,434500,436800,425100,428300,414300,419400,432800,445600,455700,452200,450100,448100,447100,45e4,442700,445400,454900,449200,468100,474100,503500,496e3,505300,507100,513400,513300,516900,515900,521800,521900,524e3,524400,518700,544800,572100,574900,611600,579400,578900,507100,506800,504800,520500,522700,519100,517900,547300,543700,540200,524400,537e3,545200,530900,536400,534700,542400,548400,547500,547300,542800,548400,549700,539700,545500,550700,553900,552800,554200,568500,581600,587200,592700,594800,598900,605500,609e3,588e3,585300,588e3,608700,601600,594800,613800,630200,636600,615600,622600,,,
273555,East Memphis-Colonial-Yorkshire,Tennessee,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251900,25e4,249500,242500,237900,249500,245300,242700,226700,233200,229200,236700,244200,256200,261200,261500,254500,247700,240800,235800,241700,240700,250500,245500,245600,243800,240400,244e3,238300,242800,251100,260200,270100,259800,249200,233200,240300,248e3,251400,258600,261900,263100,245700,236200,231e3,239800,247500,257800,258600,252500,251200,245200,248400,247200,252e3,268500,276e3,277200,263800,259200,256300,250400,253e3,259700,262400,256300,260600,256400,254400,251200,256e3,264700,262800,271900,274600,270700,271300,277600,277100,282300,273600,285e3,269200,275300,275400,295500,300200,295500,294800,297600,299900,298700
275454,South Scottsdale,Arizona,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375e3,375800,379100,370500,367300,375200,379300,388500,382400,392200,395300,395900,388300,390200,444100,465100,470300,418200,412200,406900,404600,410900,414900,426800,411500,414300,419900,423100,432400,430600,435300,448800,455300,464400,438e3,432800,420700,430300,443e3,454e3,546900,532200,
271511,Northwest,Texas,11,235800,244800,246700,241600,222500,225400,233500,245400,247500,241400,239200,234e3,235500,240100,237100,230800,220700,217300,218e3,213600,216800,220100,232300,231600,229900,23e4,236600,226400,213500,212400,240400,254300,249600,228900,225700,243300,241900,236100,226300,232900,235200,232400,240500,232300,232400,218700,234100,240700,246e3,245100,238800,219200,216700,208100,220100,208200,224e3,226800,239800,224500,227300,236600,242500,241600,238100,230500,234700,233300,229300,215200,213200,215800,213900,204100,209e3,218700,225200,236800,232100,216800,208900,210300,21e4,212400,219800,222200,210900,211100,221200,223700,215900,215200,212e3,226700,235600,250900,242800,236900,228500,225800,224200,217600,222300,224e3,241800,240800,238400,225500,225700,233900,237600,232400,220900,235e3,240100,252400,240800,240800,239900,233100,232400,234700,242700,247200,243700,252800,256e3,253e3,240200
274514,Mid City,California,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746400,765600,715400,748300,720900,72e4,707200,734300,725600,734800,749900,782700,817300,801100,752200,744e3,780200,851900,872900,833400,877800,868800,919800,883e3,859700,842700,821900,881700,854900,905e3,905500,957e3,953200,984300,986e3,1017900,1095700,1082200,1119400,1043200,1101700,1025700,1012900,974300,1031300,1046800,1089400,1061400,1046600,1087400,1164700,1153700,1116300,1059500,1057600,1092600,1045900,1083400,1021600,1080200,1091700,1144600,1136700,1141100,1119e3,1166e3,1183600,1227100,1204300,1166200,1157600,1200100,1288300,1301500,1237700,1212800,1168e3,1230100,1209e3,1291600,1291100,1278800,1258600
269592,Logan Square,Illinois,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361300,361400,360300,367900,373700,365400,339200,320800,322400,330200,354600,350700,345800,329400,333600,334900,325e3,335300,366400,399800,399900,391300,365e3,339900,317600,357e3,377900,386200,363e3,361900,367100,37e4,374600,369700,378400,391900,410200,424800,427500,422200,407500,404300,408700,396700,388400,387e3,387700,396300,395800,396e3,436400,433900,436900,401300,403700,416300,423500,418400,413600,398800,424600,442e3,452600,437900,419200,422300,434e3,435900,447500,449200,499100
275090,Preston Hollow,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350400,339200,340600,345900,350600,348500,359500,372100,383600,392200,412400,418700,411e3,392400,371500,374700,363400,373600,379700,402900,435700,452800,444400,407300,403300,406100,414600,404200,407e3,412400,419900,411200,411100,403300,396600,409800,421500,443300,443400,459900,462900,463500,453800,448600,448300,463300,456e3,469800,467700,484100,477200,482200,479900,487500,490400,483700,
270875,Lower East Side,New York,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788500,758500,733700,748100,775500,836300,823400,860200,929800,950400,927900,840300,869100,912700,91e4,879200,827100,851600,869400,889e3,1005900,1046300,1068800,943500,929200,877200,834900,734900,753900,815500
15046,Alafaya,Florida,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262300,265300,267600,263600,266e3,266900,268800,271200,278100,280300,277400,271500,270700,271900,273500,280800,281900,280600,282e3,281800,284500,284800,286200,290900,291e3,297600,299300,304700,308100,31e4,311900,308800,310800,312e3,321400,328e3,326200,319900,313700,316900,324600,329200,332200,328e3,327300,327500,332700,338200,341900,344900,345500,348700
